v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
713,564,15,305198.0,520520.0,145627173.9809317,247887340.1578536,0.5863328978713594,0.5874732202467335,94,1401,0,17843.47681577649,33809,4316,29493,0.415572105619499,0.28817609152125123,690,544.4768157764867,17299.0,8,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
713,564,15,305198.0,520520.0,145627173.9809317,247887340.1578536,0.5863328978713594,0.5874732202467335,94,1402,0,17849.362155726027,33809,4316,29493,0.415572105619499,0.28817609152125123,708,99.36215572602838,17750.0,8,9,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
714,565,16,305678.0,521203.0,145675134.72969502,247955584.30661473,0.5864854960543204,0.5875049563294261,94,1403,1,17866.0,33126,4041,29085,0.452809749492214,0.29802331474911303,713,99.91822659024038,17866.0,8,10,True,"{2: 50, 6: 2, 5: 57, 0: 52, 7: 89, 3: 27, 1: 8, 4: 62}","{(0, 2): [(52, 27), (27, 50)], (0, 5): [(52, 0), (0, 25), (25, 57)], (1, 5): [(8, 57)], (1, 7): [(8, 12), (12, 89)], (2, 5): [(50, 57)], (2, 6): [(50, 57), (57, 2)], (3, 4): [(27, 64), (64, 62)], (3, 6): [(27, 19), (19, 2)], (4, 6): [(62, 20), (20, 49), (49, 2)], (6, 7): [(2, 24), (24, 11), (11, 89)]}","{(2, 50): {'cpu': 50}, (6, 2): {'cpu': 47}, (5, 57): {'cpu': 44}, (0, 52): {'cpu': 41}, (7, 89): {'cpu': 25}, (3, 27): {'cpu': 29}, (1, 8): {'cpu': 17}, (4, 62): {'cpu': 22}}","{((0, 2), (52, 27)): {'bw': 43}, ((0, 2), (27, 50)): {'bw': 43}, ((0, 5), (52, 0)): {'bw': 3}, ((0, 5), (0, 25)): {'bw': 3}, ((0, 5), (25, 57)): {'bw': 3}, ((1, 5), (8, 57)): {'bw': 18}, ((1, 7), (8, 12)): {'bw': 39}, ((1, 7), (12, 89)): {'bw': 39}, ((2, 5), (50, 57)): {'bw': 25}, ((2, 6), (50, 57)): {'bw': 1}, ((2, 6), (57, 2)): {'bw': 1}, ((3, 4), (27, 64)): {'bw': 11}, ((3, 4), (64, 62)): {'bw': 11}, ((3, 6), (27, 19)): {'bw': 27}, ((3, 6), (19, 2)): {'bw': 27}, ((4, 6), (62, 20)): {'bw': 21}, ((4, 6), (20, 49)): {'bw': 21}, ((4, 6), (49, 2)): {'bw': 21}, ((6, 7), (2, 24)): {'bw': 17}, ((6, 7), (24, 11)): {'bw': 17}, ((6, 7), (11, 89)): {'bw': 17}}",683.0,480.0,550.0,275.0,205,275.0,205,275.0,408,203,0.7027818448023426,68244.14876113417,47960.74876331538,70.22071561246761,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,10.0
714,565,15,305678.0,521203.0,145675134.72969502,247955584.30661473,0.5864854960543204,0.5875049563294261,94,1404,0,17884.60229351186,33799,4147,29652,0.4384563303994584,0.28433857070451085,712,47.602293511860715,17837.0,8,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
714,565,14,305678.0,521203.0,145675134.72969502,247955584.30661473,0.5864854960543204,0.5875049563294261,94,1405,0,17884.654438588608,34851,4419,30432,0.40162491536899125,0.26551299688653973,655,1437.654438588608,16447.0,8,16,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
714,565,13,305678.0,521203.0,145675134.72969502,247955584.30661473,0.5864854960543204,0.5875049563294261,94,1406,0,17887.32546395045,35973,4600,31373,0.3771157752200406,0.2428016315497309,679,859.3254639504493,17028.0,8,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
715,566,14,306228.0,521941.0,145885152.33536708,248237389.7484074,0.5867099921255468,0.587684041002945,94,1407,1,17888.0,35235,4365,30870,0.4089370345294516,0.2549417131272175,714,381.8501921310012,17888.0,8,15,True,"{4: 92, 7: 86, 1: 73, 3: 67, 2: 80, 5: 43, 6: 30, 0: 49}","{(0, 2): [(49, 80)], (0, 6): [(49, 11), (11, 30)], (0, 7): [(49, 6), (6, 86)], (1, 3): [(73, 67)], (1, 4): [(73, 92)], (1, 6): [(73, 1), (1, 30)], (1, 7): [(73, 86)], (2, 4): [(80, 92)], (2, 5): [(80, 19), (19, 43)], (3, 4): [(67, 22), (22, 92)], (3, 7): [(67, 4), (4, 86)], (4, 5): [(92, 43)], (4, 6): [(92, 30)], (4, 7): [(92, 50), (50, 86)], (5, 6): [(43, 82), (82, 30)]}","{(4, 92): {'cpu': 37}, (7, 86): {'cpu': 47}, (1, 73): {'cpu': 33}, (3, 67): {'cpu': 27}, (2, 80): {'cpu': 23}, (5, 43): {'cpu': 18}, (6, 30): {'cpu': 14}, (0, 49): {'cpu': 36}}","{((0, 2), (49, 80)): {'bw': 4}, ((0, 6), (49, 11)): {'bw': 4}, ((0, 6), (11, 30)): {'bw': 4}, ((0, 7), (49, 6)): {'bw': 5}, ((0, 7), (6, 86)): {'bw': 5}, ((1, 3), (73, 67)): {'bw': 15}, ((1, 4), (73, 92)): {'bw': 22}, ((1, 6), (73, 1)): {'bw': 27}, ((1, 6), (1, 30)): {'bw': 27}, ((1, 7), (73, 86)): {'bw': 15}, ((2, 4), (80, 92)): {'bw': 26}, ((2, 5), (80, 19)): {'bw': 38}, ((2, 5), (19, 43)): {'bw': 38}, ((3, 4), (67, 22)): {'bw': 47}, ((3, 4), (22, 92)): {'bw': 47}, ((3, 7), (67, 4)): {'bw': 29}, ((3, 7), (4, 86)): {'bw': 29}, ((4, 5), (92, 43)): {'bw': 28}, ((4, 6), (92, 30)): {'bw': 17}, ((4, 7), (92, 50)): {'bw': 26}, ((4, 7), (50, 86)): {'bw': 26}, ((5, 6), (43, 82)): {'bw': 12}, ((5, 6), (82, 30)): {'bw': 12}}",738.0,550.0,470.0,235.0,315,235.0,315,235.0,503,188,0.7452574525745257,281805.4417926789,210017.60567205067,284.5767014526432,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,15.0
715,566,13,306228.0,521941.0,145885152.33536708,248237389.7484074,0.5867099921255468,0.587684041002945,94,1408,0,17898.619694828652,35994,4599,31395,0.37725118483412323,0.2422706538266599,696,433.61969482865345,17465.0,8,13,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,
716,567,14,306714.0,522659.0,146128967.07457867,248597593.41662532,0.5868338629967149,0.5878132811594873,94,1409,1,17912.0,35276,4419,30857,0.40162491536899125,0.25525547269085025,715,501.6764181308189,17912.0,8,13,True,"{5: 95, 4: 41, 6: 34, 0: 83, 7: 38, 1: 45, 2: 80, 3: 30}","{(0, 1): [(83, 30), (30, 45)], (0, 3): [(83, 30)], (0, 4): [(83, 15), (15, 21), (21, 41)], (0, 5): [(83, 22), (22, 95)], (0, 6): [(83, 50), (50, 34)], (0, 7): [(83, 35), (35, 38)], (2, 6): [(80, 34)], (2, 7): [(80, 11), (11, 38)], (3, 6): [(30, 61), (61, 34)], (3, 7): [(30, 11), (11, 38)], (4, 5): [(41, 21), (21, 95)], (4, 6): [(41, 27), (27, 34)], (5, 6): [(95, 34)]}","{(5, 95): {'cpu': 35}, (4, 41): {'cpu': 39}, (6, 34): {'cpu': 29}, (0, 83): {'cpu': 12}, (7, 38): {'cpu': 15}, (1, 45): {'cpu': 28}, (2, 80): {'cpu': 22}, (3, 30): {'cpu': 0}}","{((0, 1), (83, 30)): {'bw': 33}, ((0, 1), (30, 45)): {'bw': 33}, ((0, 3), (83, 30)): {'bw': 31}, ((0, 4), (83, 15)): {'bw': 12}, ((0, 4), (15, 21)): {'bw': 12}, ((0, 4), (21, 41)): {'bw': 12}, ((0, 5), (83, 22)): {'bw': 22}, ((0, 5), (22, 95)): {'bw': 22}, ((0, 6), (83, 50)): {'bw': 6}, ((0, 6), (50, 34)): {'bw': 6}, ((0, 7), (83, 35)): {'bw': 29}, ((0, 7), (35, 38)): {'bw': 29}, ((2, 6), (80, 34)): {'bw': 6}, ((2, 7), (80, 11)): {'bw': 8}, ((2, 7), (11, 38)): {'bw': 8}, ((3, 6), (30, 61)): {'bw': 3}, ((3, 6), (61, 34)): {'bw': 3}, ((3, 7), (30, 11)): {'bw': 33}, ((3, 7), (11, 38)): {'bw': 33}, ((4, 5), (41, 21)): {'bw': 50}, ((4, 5), (21, 95)): {'bw': 50}, ((4, 6), (41, 27)): {'bw': 24}, ((4, 6), (27, 34)): {'bw': 24}, ((5, 6), (95, 34)): {'bw': 49}}",718.0,486.0,360.0,180.0,306,180.0,306,180.0,538,232,0.6768802228412256,360203.668217928,243814.73921157798,339.57484569857655,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,13.0
717,568,15,307107.0,523307.0,146236416.71397868,248774762.2876971,0.586858192227507,0.5878265760128139,94,1410,1,17934.0,34628,4254,30374,0.4239675016926202,0.2669128472473632,716,273.4087516539946,17934.0,8,11,True,"{5: 43, 3: 67, 0: 58, 1: 73, 6: 72, 2: 78, 7: 95, 4: 93}","{(0, 3): [(58, 80), (80, 67)], (0, 4): [(58, 62), (62, 93)], (1, 5): [(73, 17), (17, 43)], (1, 6): [(73, 6), (6, 3), (3, 72)], (2, 3): [(78, 57), (57, 67)], (2, 5): [(78, 19), (19, 43)], (3, 4): [(67, 57), (57, 66), (66, 93)], (3, 5): [(67, 48), (48, 43)], (4, 7): [(93, 95)], (5, 7): [(43, 82), (82, 95)], (6, 7): [(72, 95)]}","{(5, 43): {'cpu': 34}, (3, 67): {'cpu': 21}, (0, 58): {'cpu': 30}, (1, 73): {'cpu': 19}, (6, 72): {'cpu': 30}, (2, 78): {'cpu': 24}, (7, 95): {'cpu': 6}, (4, 93): {'cpu': 1}}","{((0, 3), (58, 80)): {'bw': 48}, ((0, 3), (80, 67)): {'bw': 48}, ((0, 4), (58, 62)): {'bw': 2}, ((0, 4), (62, 93)): {'bw': 2}, ((1, 5), (73, 17)): {'bw': 41}, ((1, 5), (17, 43)): {'bw': 41}, ((1, 6), (73, 6)): {'bw': 12}, ((1, 6), (6, 3)): {'bw': 12}, ((1, 6), (3, 72)): {'bw': 12}, ((2, 3), (78, 57)): {'bw': 4}, ((2, 3), (57, 67)): {'bw': 4}, ((2, 5), (78, 19)): {'bw': 11}, ((2, 5), (19, 43)): {'bw': 11}, ((3, 4), (67, 57)): {'bw': 42}, ((3, 4), (57, 66)): {'bw': 42}, ((3, 4), (66, 93)): {'bw': 42}, ((3, 5), (67, 48)): {'bw': 21}, ((3, 5), (48, 43)): {'bw': 21}, ((4, 7), (93, 95)): {'bw': 22}, ((5, 7), (43, 82)): {'bw': 20}, ((5, 7), (82, 95)): {'bw': 20}, ((6, 7), (72, 95)): {'bw': 5}}",648.0,393.0,330.0,165.0,228,165.0,228,165.0,483,255,0.6064814814814815,177168.8710717885,107449.63940001988,165.8173447531171,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],8.0,11.0
