acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,long_term_weighted_avg_time_revenue,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,avg_reward,solver_name,seed,p_net_dataset_dir,v_nets_dataset_dir,run_id,start_run_time,clock_running_time
0.567,0.338068996036879,0.5842920171343234,6418.241390540817,567,0,0,433,518577.0,303987.0,159705100.52082714,273330964.37652063,0.5861945284885369,24883.0,12.216653940441265,20.84061407386569,18.634895330982083,26635,3833,22802,18,0.338068996036879,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T051317,209.08048748970032
0.584,0.34500934156084684,0.5782575272654269,6348.873976098974,584,0,0,416,539090.0,313353.0,154239544.37534848,266731580.83171952,0.5812628689087166,24294.0,12.898369967893307,22.190252737301392,19.24724394399228,26771,3946,22380,16,0.34500934156084684,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T051646,209.09741473197937
0.578,0.3630682322717771,0.6206135153945385,6114.442620132312,578,0,0,422,503751.0,311799.0,151950013.5529081,244838389.4061829,0.6189546025715086,24851.0,12.546738561828498,20.270854291577805,18.66118118196081,27373,3446,23702,18,0.3630682322717771,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T052016,248.3810098171234
0.584,0.34612478094719407,0.583742050457206,6143.872319389482,584,0,0,416,539487.0,314896.0,152963989.13583994,262040380.70588458,0.5836952512294087,24897.0,12.647949552154879,21.668755271719483,18.79182187154436,26500,3959,22541,18,0.34612478094719407,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T052425,216.73586797714233
0.575,0.34360050108552403,0.5895940104621358,6521.765368571951,575,0,0,425,523227.0,307326.0,160533254.54739857,272277621.0388727,0.5873664776473692,24615.0,12.485313833028641,21.25642900670323,19.007079201600593,26139,3906,22218,18,0.34360050108552403,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T052802,209.55635499954224
0.613,0.36855048128395357,0.5937910613044346,6449.113067825626,613,0,0,387,559665.0,331047.0,161208479.35643718,271490242.71651363,0.5915092064002573,24997.0,13.243469216305957,22.389286714405728,19.692582284131582,26233,3566,22618,18,0.36855048128395357,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T053132,209.06369423866272
0.594,0.35874216772141304,0.593751130540074,6382.973740903288,594,0,0,406,533346.0,317241.0,149361585.53713694,251555875.60949677,0.5948127481972303,23400.0,13.557307692307692,22.792564102564103,19.94028143321098,26167,3924,22235,17,0.35874216772141304,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T053502,216.39367651939392
0.562,0.33678395807255485,0.592097368589137,6533.436773032052,562,0,0,438,517941.0,305751.0,163028847.79746878,275341280.7524168,0.5903201329881202,24953.0,12.253075782471045,20.75666252554803,18.786512555503098,24670,3483,21143,20,0.33678395807255485,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T053839,210.30674934387207
0.572,0.34706544665469263,0.59305626107862,6499.9428436652815,572,0,0,428,515954.0,308014.0,153873146.9380882,259457925.05121133,0.5969795756986088,23673.0,13.01119418747096,21.79504076373928,19.51113703113624,26921,3971,22311,17,0.34706544665469263,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T054209,207.70665574073792
0.566,0.34081493673315433,0.5923745949046432,6315.823990717912,566,0,0,434,515131.0,305521.0,154870320.07639393,261439841.29049966,0.5930937955587996,24521.0,12.459565270584397,21.007748460503244,18.77538926130231,27699,3986,23258,17,0.34081493673315433,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T054537,207.3625466823578
