v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,473.0,664.0,257244.97867903693,361121.91510122735,0.7123493975903614,0.7123493975903614,8,0,1,20.0,41804,7285,34519,0.027759241959161907,0.013037884203002115,0,543.8583058753424,20.0,8,13,True,"{0: 72, 1: 40, 2: 48, 3: 39, 4: 96, 5: 98, 6: 20, 7: 26}","{(0, 1): [(72, 40)], (0, 5): [(72, 98)], (0, 6): [(72, 16), (16, 4), (4, 20)], (0, 7): [(72, 26)], (1, 2): [(40, 63), (63, 48)], (1, 3): [(40, 39)], (1, 7): [(40, 35), (35, 26)], (2, 3): [(48, 26), (26, 39)], (2, 6): [(48, 24), (24, 20)], (2, 7): [(48, 26)], (4, 6): [(96, 24), (24, 20)], (4, 7): [(96, 26)], (5, 6): [(98, 32), (32, 20)]}","{(0, 72): {'cpu': 19}, (1, 40): {'cpu': 29}, (2, 48): {'cpu': 27}, (3, 39): {'cpu': 45}, (4, 96): {'cpu': 2}, (5, 98): {'cpu': 24}, (6, 20): {'cpu': 30}, (7, 26): {'cpu': 32}}","{((0, 1), (72, 40)): {'bw': 27}, ((0, 5), (72, 98)): {'bw': 14}, ((0, 6), (72, 16)): {'bw': 45}, ((0, 6), (16, 4)): {'bw': 45}, ((0, 6), (4, 20)): {'bw': 45}, ((0, 7), (72, 26)): {'bw': 20}, ((1, 2), (40, 63)): {'bw': 6}, ((1, 2), (63, 48)): {'bw': 6}, ((1, 3), (40, 39)): {'bw': 49}, ((1, 7), (40, 35)): {'bw': 5}, ((1, 7), (35, 26)): {'bw': 5}, ((2, 3), (48, 26)): {'bw': 48}, ((2, 3), (26, 39)): {'bw': 48}, ((2, 6), (48, 24)): {'bw': 18}, ((2, 6), (24, 20)): {'bw': 18}, ((2, 7), (48, 26)): {'bw': 0}, ((4, 6), (96, 24)): {'bw': 4}, ((4, 6), (24, 20)): {'bw': 4}, ((4, 7), (96, 26)): {'bw': 9}, ((5, 6), (98, 32)): {'bw': 20}, ((5, 6), (32, 20)): {'bw': 20}}",664.0,473.0,624.0,208.0,265,208.0,265,208.0,456,191,0.7123493975903614,361121.91510122735,257244.97867903693,387.41713656481465,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7123493975903614,0.0,8.0,13.0
2,2,2,861.0,1271.0,309159.9038911561,442339.33676039317,0.6774193548387096,0.6989202139592259,11,1,1,41.0,41197,7142,34055,0.046843720806085676,0.026304503216583286,1,133.80135363948241,41.0,8,9,True,"{0: 32, 1: 98, 2: 40, 3: 26, 4: 39, 5: 72, 6: 16, 7: 88}","{(0, 5): [(32, 26), (26, 72)], (1, 3): [(98, 26)], (2, 3): [(40, 35), (35, 26)], (3, 7): [(26, 55), (55, 88)], (4, 5): [(39, 16), (16, 72)], (4, 7): [(39, 4), (4, 88)], (5, 6): [(72, 55), (55, 16)], (5, 7): [(72, 40), (40, 88)], (6, 7): [(16, 4), (4, 88)]}","{(0, 32): {'cpu': 9}, (1, 98): {'cpu': 39}, (2, 40): {'cpu': 20}, (3, 26): {'cpu': 27}, (4, 39): {'cpu': 17}, (5, 72): {'cpu': 10}, (6, 16): {'cpu': 13}, (7, 88): {'cpu': 8}}","{((0, 5), (32, 26)): {'bw': 37}, ((0, 5), (26, 72)): {'bw': 37}, ((1, 3), (98, 26)): {'bw': 26}, ((2, 3), (40, 35)): {'bw': 8}, ((2, 3), (35, 26)): {'bw': 8}, ((3, 7), (26, 55)): {'bw': 38}, ((3, 7), (55, 88)): {'bw': 38}, ((4, 5), (39, 16)): {'bw': 25}, ((4, 5), (16, 72)): {'bw': 25}, ((4, 7), (39, 4)): {'bw': 43}, ((4, 7), (4, 88)): {'bw': 43}, ((5, 6), (72, 55)): {'bw': 34}, ((5, 6), (55, 16)): {'bw': 34}, ((5, 7), (72, 40)): {'bw': 26}, ((5, 7), (40, 88)): {'bw': 26}, ((6, 7), (16, 4)): {'bw': 8}, ((6, 7), (4, 88)): {'bw': 8}}",607.0,388.0,429.0,143.0,245,143.0,245,143.0,464,219,0.6392092257001647,81217.42165916582,51914.925212119175,85.52705965752747,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6392092257001647,0.0,8.0,9.0
3,3,3,1418.0,2148.0,1013349.8464009424,1551090.8261339706,0.660148975791434,0.6533143187537733,17,2,1,69.0,40320,6928,33392,0.07540371012945413,0.04526090064331667,2,1264.2548339493471,69.0,8,13,True,"{0: 32, 1: 97, 2: 86, 3: 15, 4: 37, 5: 62, 6: 83, 7: 26}","{(0, 1): [(32, 22), (22, 97)], (0, 5): [(32, 64), (64, 62)], (0, 6): [(32, 37), (37, 83)], (0, 7): [(32, 26)], (1, 4): [(97, 69), (69, 37)], (1, 7): [(97, 81), (81, 26)], (2, 3): [(86, 45), (45, 15)], (2, 4): [(86, 18), (18, 37)], (2, 5): [(86, 62)], (3, 4): [(15, 80), (80, 37)], (3, 7): [(15, 7), (7, 93), (93, 26)], (4, 6): [(37, 83)], (4, 7): [(37, 32), (32, 26)]}","{(0, 32): {'cpu': 45}, (1, 97): {'cpu': 34}, (2, 86): {'cpu': 22}, (3, 15): {'cpu': 17}, (4, 37): {'cpu': 32}, (5, 62): {'cpu': 23}, (6, 83): {'cpu': 33}, (7, 26): {'cpu': 8}}","{((0, 1), (32, 22)): {'bw': 39}, ((0, 1), (22, 97)): {'bw': 39}, ((0, 5), (32, 64)): {'bw': 7}, ((0, 5), (64, 62)): {'bw': 7}, ((0, 6), (32, 37)): {'bw': 24}, ((0, 6), (37, 83)): {'bw': 24}, ((0, 7), (32, 26)): {'bw': 47}, ((1, 4), (97, 69)): {'bw': 42}, ((1, 4), (69, 37)): {'bw': 42}, ((1, 7), (97, 81)): {'bw': 12}, ((1, 7), (81, 26)): {'bw': 12}, ((2, 3), (86, 45)): {'bw': 43}, ((2, 3), (45, 15)): {'bw': 43}, ((2, 4), (86, 18)): {'bw': 27}, ((2, 4), (18, 37)): {'bw': 27}, ((2, 5), (86, 62)): {'bw': 1}, ((3, 4), (15, 80)): {'bw': 32}, ((3, 4), (80, 37)): {'bw': 32}, ((3, 7), (15, 7)): {'bw': 46}, ((3, 7), (7, 93)): {'bw': 46}, ((3, 7), (93, 26)): {'bw': 46}, ((4, 6), (37, 83)): {'bw': 21}, ((4, 7), (37, 32)): {'bw': 2}, ((4, 7), (32, 26)): {'bw': 2}}",877.0,557.0,642.0,214.0,343,214.0,343,214.0,663,320,0.6351197263397947,1108751.4893735775,704189.9425097863,802.953184161672,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6351197263397947,0.0,8.0,13.0
4,4,4,2081.0,3330.0,1140985.6734277683,1778640.6716026103,0.6249249249249249,0.6414930748208433,23,3,1,96.0,39138,6740,32398,0.10049379420792737,0.07368120085775554,3,192.51255961813843,96.0,8,19,True,"{0: 65, 1: 81, 2: 32, 3: 64, 4: 30, 5: 18, 6: 3, 7: 40}","{(0, 1): [(65, 39), (39, 81)], (0, 2): [(65, 32)], (0, 5): [(65, 15), (15, 91), (91, 18)], (0, 6): [(65, 15), (15, 24), (24, 3)], (0, 7): [(65, 55), (55, 40)], (1, 2): [(81, 4), (4, 32)], (1, 3): [(81, 27), (27, 64)], (1, 5): [(81, 27), (27, 18)], (1, 6): [(81, 3)], (2, 3): [(32, 64)], (2, 4): [(32, 22), (22, 17), (17, 30)], (2, 6): [(32, 22), (22, 17), (17, 3)], (2, 7): [(32, 4), (4, 40)], (3, 4): [(64, 27), (27, 60), (60, 30)], (3, 5): [(64, 27), (27, 18)], (3, 6): [(64, 69), (69, 8), (8, 3)], (4, 6): [(30, 17), (17, 3)], (5, 7): [(18, 35), (35, 40)], (6, 7): [(3, 28), (28, 40)]}","{(0, 65): {'cpu': 27}, (1, 81): {'cpu': 27}, (2, 32): {'cpu': 8}, (3, 64): {'cpu': 22}, (4, 30): {'cpu': 44}, (5, 18): {'cpu': 28}, (6, 3): {'cpu': 26}, (7, 40): {'cpu': 6}}","{((0, 1), (65, 39)): {'bw': 23}, ((0, 1), (39, 81)): {'bw': 23}, ((0, 2), (65, 32)): {'bw': 41}, ((0, 5), (65, 15)): {'bw': 31}, ((0, 5), (15, 91)): {'bw': 31}, ((0, 5), (91, 18)): {'bw': 31}, ((0, 6), (65, 15)): {'bw': 18}, ((0, 6), (15, 24)): {'bw': 18}, ((0, 6), (24, 3)): {'bw': 18}, ((0, 7), (65, 55)): {'bw': 35}, ((0, 7), (55, 40)): {'bw': 35}, ((1, 2), (81, 4)): {'bw': 10}, ((1, 2), (4, 32)): {'bw': 10}, ((1, 3), (81, 27)): {'bw': 32}, ((1, 3), (27, 64)): {'bw': 32}, ((1, 5), (81, 27)): {'bw': 2}, ((1, 5), (27, 18)): {'bw': 2}, ((1, 6), (81, 3)): {'bw': 23}, ((2, 3), (32, 64)): {'bw': 25}, ((2, 4), (32, 22)): {'bw': 3}, ((2, 4), (22, 17)): {'bw': 3}, ((2, 4), (17, 30)): {'bw': 3}, ((2, 6), (32, 22)): {'bw': 39}, ((2, 6), (22, 17)): {'bw': 39}, ((2, 6), (17, 3)): {'bw': 39}, ((2, 7), (32, 4)): {'bw': 5}, ((2, 7), (4, 40)): {'bw': 5}, ((3, 4), (64, 27)): {'bw': 21}, ((3, 4), (27, 60)): {'bw': 21}, ((3, 4), (60, 30)): {'bw': 21}, ((3, 5), (64, 27)): {'bw': 12}, ((3, 5), (27, 18)): {'bw': 12}, ((3, 6), (64, 69)): {'bw': 21}, ((3, 6), (69, 8)): {'bw': 21}, ((3, 6), (8, 3)): {'bw': 21}, ((4, 6), (30, 17)): {'bw': 48}, ((4, 6), (17, 3)): {'bw': 48}, ((5, 7), (18, 35)): {'bw': 46}, ((5, 7), (35, 40)): {'bw': 46}, ((6, 7), (3, 28)): {'bw': 40}, ((6, 7), (28, 40)): {'bw': 40}}",1182.0,663.0,564.0,188.0,475,188.0,475,188.0,994,519,0.5609137055837563,227549.84546863963,127635.82702682578,107.98293318682383,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.5609137055837563,0.0,8.0,19.0
5,5,5,2753.0,4693.0,1392577.3753024435,2288937.5312085366,0.5866183677818027,0.6083946618530809,27,4,1,133.0,37775,6510,31265,0.13118910983584675,0.1060757684060043,4,374.39241350398106,133.0,8,17,True,"{0: 77, 1: 64, 2: 40, 3: 32, 4: 83, 5: 43, 6: 90, 7: 50}","{(0, 1): [(77, 62), (62, 64)], (0, 2): [(77, 55), (55, 40)], (0, 3): [(77, 41), (41, 32)], (0, 4): [(77, 62), (62, 83)], (0, 5): [(77, 86), (86, 97), (97, 43)], (0, 7): [(77, 6), (6, 10), (10, 50)], (1, 2): [(64, 62), (62, 40)], (1, 3): [(64, 25), (25, 0), (0, 32)], (1, 4): [(64, 25), (25, 83)], (1, 5): [(64, 27), (27, 43)], (1, 7): [(64, 34), (34, 5), (5, 50)], (2, 4): [(40, 1), (1, 2), (2, 83)], (3, 4): [(32, 37), (37, 25), (25, 83)], (3, 5): [(32, 20), (20, 43)], (3, 6): [(32, 10), (10, 6), (6, 90)], (4, 5): [(83, 2), (2, 43)], (4, 7): [(83, 16), (16, 0), (0, 50)]}","{(0, 77): {'cpu': 50}, (1, 64): {'cpu': 35}, (2, 40): {'cpu': 3}, (3, 32): {'cpu': 24}, (4, 83): {'cpu': 19}, (5, 43): {'cpu': 28}, (6, 90): {'cpu': 41}, (7, 50): {'cpu': 30}}","{((0, 1), (77, 62)): {'bw': 16}, ((0, 1), (62, 64)): {'bw': 16}, ((0, 2), (77, 55)): {'bw': 9}, ((0, 2), (55, 40)): {'bw': 9}, ((0, 3), (77, 41)): {'bw': 3}, ((0, 3), (41, 32)): {'bw': 3}, ((0, 4), (77, 62)): {'bw': 46}, ((0, 4), (62, 83)): {'bw': 46}, ((0, 5), (77, 86)): {'bw': 37}, ((0, 5), (86, 97)): {'bw': 37}, ((0, 5), (97, 43)): {'bw': 37}, ((0, 7), (77, 6)): {'bw': 9}, ((0, 7), (6, 10)): {'bw': 9}, ((0, 7), (10, 50)): {'bw': 9}, ((1, 2), (64, 62)): {'bw': 27}, ((1, 2), (62, 40)): {'bw': 27}, ((1, 3), (64, 25)): {'bw': 39}, ((1, 3), (25, 0)): {'bw': 39}, ((1, 3), (0, 32)): {'bw': 39}, ((1, 4), (64, 25)): {'bw': 32}, ((1, 4), (25, 83)): {'bw': 32}, ((1, 5), (64, 27)): {'bw': 7}, ((1, 5), (27, 43)): {'bw': 7}, ((1, 7), (64, 34)): {'bw': 42}, ((1, 7), (34, 5)): {'bw': 42}, ((1, 7), (5, 50)): {'bw': 42}, ((2, 4), (40, 1)): {'bw': 20}, ((2, 4), (1, 2)): {'bw': 20}, ((2, 4), (2, 83)): {'bw': 20}, ((3, 4), (32, 37)): {'bw': 50}, ((3, 4), (37, 25)): {'bw': 50}, ((3, 4), (25, 83)): {'bw': 50}, ((3, 5), (32, 20)): {'bw': 25}, ((3, 5), (20, 43)): {'bw': 25}, ((3, 6), (32, 10)): {'bw': 44}, ((3, 6), (10, 6)): {'bw': 44}, ((3, 6), (6, 90)): {'bw': 44}, ((4, 5), (83, 2)): {'bw': 28}, ((4, 5), (2, 43)): {'bw': 28}, ((4, 7), (83, 16)): {'bw': 8}, ((4, 7), (16, 0)): {'bw': 8}, ((4, 7), (0, 50)): {'bw': 8}}",1363.0,672.0,690.0,230.0,442,230.0,442,230.0,1133,691,0.4930300807043287,510296.8596059262,251591.7018746753,184.58672184495617,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.4930300807043287,0.0,8.0,17.0
6,6,6,3274.0,5578.0,1470181.5337390504,2420760.333927149,0.5869487271423449,0.6073222173770526,30,5,1,161.0,36890,6342,30548,0.15361003603363144,0.1265761258041458,5,148.9523194560592,161.0,8,13,True,"{0: 16, 1: 55, 2: 72, 3: 0, 4: 40, 5: 74, 6: 86, 7: 98}","{(0, 2): [(16, 72)], (0, 4): [(16, 73), (73, 40)], (0, 6): [(16, 0), (0, 86)], (0, 7): [(16, 67), (67, 98)], (1, 4): [(55, 40)], (1, 6): [(55, 34), (34, 86)], (2, 4): [(72, 40)], (3, 4): [(0, 22), (22, 40)], (3, 5): [(0, 50), (50, 74)], (3, 6): [(0, 86)], (3, 7): [(0, 32), (32, 98)], (5, 6): [(74, 5), (5, 13), (13, 86)], (6, 7): [(86, 9), (9, 98)]}","{(0, 16): {'cpu': 27}, (1, 55): {'cpu': 10}, (2, 72): {'cpu': 11}, (3, 0): {'cpu': 43}, (4, 40): {'cpu': 6}, (5, 74): {'cpu': 28}, (6, 86): {'cpu': 35}, (7, 98): {'cpu': 8}}","{((0, 2), (16, 72)): {'bw': 1}, ((0, 4), (16, 73)): {'bw': 43}, ((0, 4), (73, 40)): {'bw': 43}, ((0, 6), (16, 0)): {'bw': 43}, ((0, 6), (0, 86)): {'bw': 43}, ((0, 7), (16, 67)): {'bw': 28}, ((0, 7), (67, 98)): {'bw': 28}, ((1, 4), (55, 40)): {'bw': 14}, ((1, 6), (55, 34)): {'bw': 45}, ((1, 6), (34, 86)): {'bw': 45}, ((2, 4), (72, 40)): {'bw': 0}, ((3, 4), (0, 22)): {'bw': 30}, ((3, 4), (22, 40)): {'bw': 30}, ((3, 5), (0, 50)): {'bw': 44}, ((3, 5), (50, 74)): {'bw': 44}, ((3, 6), (0, 86)): {'bw': 6}, ((3, 7), (0, 32)): {'bw': 36}, ((3, 7), (32, 98)): {'bw': 36}, ((5, 6), (74, 5)): {'bw': 32}, ((5, 6), (5, 13)): {'bw': 32}, ((5, 6), (13, 86)): {'bw': 32}, ((6, 7), (86, 9)): {'bw': 31}, ((6, 7), (9, 98)): {'bw': 31}}",885.0,521.0,504.0,168.0,353,168.0,353,168.0,717,364,0.5887005649717514,131822.8027186124,77604.15843660684,87.68831461763484,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.5887005649717514,0.0,8.0,13.0
6,6,5,3274.0,5578.0,1470181.5337390504,2420760.333927149,0.5869487271423449,0.6073222173770526,30,6,0,174.80135363948241,37497,6485,31012,0.13452555718670756,0.11330950679056473,1,133.80135363948241,41.0,8,9,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
7,6,5,3274.0,5578.0,1470181.5337390504,2420760.333927149,0.5869487271423449,0.6073222173770526,30,7,1,190.0,37497,6485,31012,0.13452555718670756,0.11330950679056473,6,194.27749673530346,190.0,8,14,False,"{0: 5, 1: 37, 2: 32, 3: 98, 4: 26, 5: 96, 6: 39, 7: 72}","{(0, 1): [(5, 8), (8, 18), (18, 37)], (0, 2): [(5, 26), (26, 32)], (0, 6): [(5, 26), (26, 39)], (1, 2): [(37, 69), (69, 79), (79, 32)], (1, 4): [(37, 96), (96, 26)], (1, 5): [(37, 96)], (1, 6): [(37, 80), (80, 39)], (1, 7): []}","{(0, 5): {'cpu': 37}, (1, 37): {'cpu': 3}, (2, 32): {'cpu': 20}, (3, 98): {'cpu': 7}, (4, 26): {'cpu': 34}, (5, 96): {'cpu': 26}, (6, 39): {'cpu': 12}, (7, 72): {'cpu': 33}}","{((0, 1), (5, 8)): {'bw': 22}, ((0, 1), (8, 18)): {'bw': 22}, ((0, 1), (18, 37)): {'bw': 22}, ((0, 2), (5, 26)): {'bw': 47}, ((0, 2), (26, 32)): {'bw': 47}, ((0, 6), (5, 26)): {'bw': 18}, ((0, 6), (26, 39)): {'bw': 18}, ((1, 2), (37, 69)): {'bw': 48}, ((1, 2), (69, 79)): {'bw': 48}, ((1, 2), (79, 32)): {'bw': 48}, ((1, 4), (37, 96)): {'bw': 10}, ((1, 4), (96, 26)): {'bw': 10}, ((1, 5), (37, 96)): {'bw': 35}, ((1, 6), (37, 80)): {'bw': 25}, ((1, 6), (80, 39)): {'bw': 25}}",0.0,0.0,516.0,172.0,454,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],0.0,0.0,8.0,8.0
8,7,6,3694.0,6164.0,1711029.859287909,2756801.0929072234,0.5992861778066191,0.6206577121904425,33,8,1,208.0,36911,6275,30636,0.16255171493393838,0.12406004288777694,7,573.4483941639493,208.0,8,12,True,"{0: 72, 1: 98, 2: 85, 3: 4, 4: 20, 5: 40, 6: 10, 7: 88}","{(0, 7): [(72, 40), (40, 88)], (1, 2): [(98, 32), (32, 10), (10, 85)], (1, 3): [(98, 40), (40, 4)], (1, 6): [(98, 32), (32, 10)], (2, 5): [(85, 2), (2, 1), (1, 40)], (2, 6): [(85, 10)], (2, 7): [(85, 37), (37, 80), (80, 88)], (3, 4): [(4, 20)], (3, 5): [(4, 40)], (3, 7): [(4, 88)], (4, 7): [(20, 4), (4, 88)], (5, 6): [(40, 89), (89, 0), (0, 10)]}","{(0, 72): {'cpu': 39}, (1, 98): {'cpu': 46}, (2, 85): {'cpu': 28}, (3, 4): {'cpu': 31}, (4, 20): {'cpu': 0}, (5, 40): {'cpu': 8}, (6, 10): {'cpu': 36}, (7, 88): {'cpu': 22}}","{((0, 7), (72, 40)): {'bw': 0}, ((0, 7), (40, 88)): {'bw': 0}, ((1, 2), (98, 32)): {'bw': 12}, ((1, 2), (32, 10)): {'bw': 12}, ((1, 2), (10, 85)): {'bw': 12}, ((1, 3), (98, 40)): {'bw': 6}, ((1, 3), (40, 4)): {'bw': 6}, ((1, 6), (98, 32)): {'bw': 2}, ((1, 6), (32, 10)): {'bw': 2}, ((2, 5), (85, 2)): {'bw': 25}, ((2, 5), (2, 1)): {'bw': 25}, ((2, 5), (1, 40)): {'bw': 25}, ((2, 6), (85, 10)): {'bw': 46}, ((2, 7), (85, 37)): {'bw': 5}, ((2, 7), (37, 80)): {'bw': 5}, ((2, 7), (80, 88)): {'bw': 5}, ((3, 4), (4, 20)): {'bw': 21}, ((3, 5), (4, 40)): {'bw': 27}, ((3, 7), (4, 88)): {'bw': 26}, ((4, 7), (20, 4)): {'bw': 6}, ((4, 7), (4, 88)): {'bw': 6}, ((5, 6), (40, 89)): {'bw': 34}, ((5, 6), (89, 0)): {'bw': 34}, ((5, 6), (0, 10)): {'bw': 34}}",586.0,420.0,630.0,210.0,210,210.0,210,210.0,376,166,0.7167235494880546,336040.75898007426,240848.3255488587,411.00396851341077,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7167235494880546,0.0,8.0,12.0
9,8,7,4187.0,6983.0,1717429.7689674096,2767432.991543148,0.5995990262065015,0.6205858549116139,36,9,1,232.0,36092,6108,29984,0.18483918323768855,0.14270192994996422,8,12.981561216025584,232.0,8,15,True,"{0: 39, 1: 59, 2: 55, 3: 60, 4: 26, 5: 4, 6: 45, 7: 40}","{(0, 2): [(39, 16), (16, 55)], (0, 3): [(39, 40), (40, 60)], (0, 5): [(39, 4)], (0, 7): [(39, 4), (4, 40)], (1, 2): [(59, 6), (6, 26), (26, 55)], (1, 3): [(59, 64), (64, 27), (27, 60)], (2, 4): [(55, 26)], (2, 5): [(55, 16), (16, 4)], (2, 6): [(55, 26), (26, 45)], (3, 4): [(60, 98), (98, 26)], (3, 5): [(60, 42), (42, 24), (24, 4)], (3, 6): [(60, 40), (40, 80), (80, 45)], (3, 7): [(60, 40)], (4, 5): [(26, 32), (32, 4)], (5, 6): [(4, 47), (47, 45)]}","{(0, 39): {'cpu': 2}, (1, 59): {'cpu': 17}, (2, 55): {'cpu': 39}, (3, 60): {'cpu': 24}, (4, 26): {'cpu': 23}, (5, 4): {'cpu': 25}, (6, 45): {'cpu': 24}, (7, 40): {'cpu': 13}}","{((0, 2), (39, 16)): {'bw': 7}, ((0, 2), (16, 55)): {'bw': 7}, ((0, 3), (39, 40)): {'bw': 12}, ((0, 3), (40, 60)): {'bw': 12}, ((0, 5), (39, 4)): {'bw': 11}, ((0, 7), (39, 4)): {'bw': 30}, ((0, 7), (4, 40)): {'bw': 30}, ((1, 2), (59, 6)): {'bw': 6}, ((1, 2), (6, 26)): {'bw': 6}, ((1, 2), (26, 55)): {'bw': 6}, ((1, 3), (59, 64)): {'bw': 2}, ((1, 3), (64, 27)): {'bw': 2}, ((1, 3), (27, 60)): {'bw': 2}, ((2, 4), (55, 26)): {'bw': 38}, ((2, 5), (55, 16)): {'bw': 36}, ((2, 5), (16, 4)): {'bw': 36}, ((2, 6), (55, 26)): {'bw': 20}, ((2, 6), (26, 45)): {'bw': 20}, ((3, 4), (60, 98)): {'bw': 1}, ((3, 4), (98, 26)): {'bw': 1}, ((3, 5), (60, 42)): {'bw': 29}, ((3, 5), (42, 24)): {'bw': 29}, ((3, 5), (24, 4)): {'bw': 29}, ((3, 6), (60, 40)): {'bw': 28}, ((3, 6), (40, 80)): {'bw': 28}, ((3, 6), (80, 45)): {'bw': 28}, ((3, 7), (60, 40)): {'bw': 16}, ((4, 5), (26, 32)): {'bw': 45}, ((4, 5), (32, 4)): {'bw': 45}, ((5, 6), (4, 47)): {'bw': 45}, ((5, 6), (47, 45)): {'bw': 45}}",819.0,493.0,501.0,167.0,326,167.0,326,167.0,652,326,0.6019536019536019,10631.898635924954,6399.909679500613,7.814297532967781,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6019536019536019,0.0,8.0,15.0
