v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,592.0,760.0,956263.5499505264,1227635.6384500002,0.7789473684210526,0.7789473684210526,8,0,1,26.0,41708,7320,34388,0.023088215667956713,0.01678341672623307,0,1615.3100505921054,26.0,8,16,True,"{0: 40, 1: 98, 2: 26, 3: 32, 4: 39, 5: 72, 6: 86, 7: 55}","{(0, 1): [(40, 98)], (0, 2): [(40, 35), (35, 26)], (0, 4): [(40, 39)], (0, 5): [(40, 72)], (0, 7): [(40, 55)], (1, 2): [(98, 26)], (1, 3): [(98, 32)], (1, 7): [(98, 40), (40, 55)], (2, 5): [(26, 72)], (2, 6): [(26, 86)], (3, 5): [(32, 65), (65, 72)], (3, 6): [(32, 0), (0, 86)], (4, 5): [(39, 16), (16, 72)], (4, 7): [(39, 16), (16, 55)], (5, 7): [(72, 55)], (6, 7): [(86, 34), (34, 55)]}","{(0, 40): {'cpu': 29}, (1, 98): {'cpu': 11}, (2, 26): {'cpu': 1}, (3, 32): {'cpu': 12}, (4, 39): {'cpu': 49}, (5, 72): {'cpu': 3}, (6, 86): {'cpu': 29}, (7, 55): {'cpu': 39}}","{((0, 1), (40, 98)): {'bw': 2}, ((0, 2), (40, 35)): {'bw': 17}, ((0, 2), (35, 26)): {'bw': 17}, ((0, 4), (40, 39)): {'bw': 41}, ((0, 5), (40, 72)): {'bw': 38}, ((0, 7), (40, 55)): {'bw': 19}, ((1, 2), (98, 26)): {'bw': 28}, ((1, 3), (98, 32)): {'bw': 6}, ((1, 7), (98, 40)): {'bw': 30}, ((1, 7), (40, 55)): {'bw': 30}, ((2, 5), (26, 72)): {'bw': 47}, ((2, 6), (26, 86)): {'bw': 38}, ((3, 5), (32, 65)): {'bw': 16}, ((3, 5), (65, 72)): {'bw': 16}, ((3, 6), (32, 0)): {'bw': 29}, ((3, 6), (0, 86)): {'bw': 29}, ((4, 5), (39, 16)): {'bw': 20}, ((4, 5), (16, 72)): {'bw': 20}, ((4, 7), (39, 16)): {'bw': 8}, ((4, 7), (16, 55)): {'bw': 8}, ((5, 7), (72, 55)): {'bw': 32}, ((6, 7), (86, 34)): {'bw': 48}, ((6, 7), (34, 55)): {'bw': 48}}",760.0,592.0,519.0,173.0,419,173.0,419,173.0,587,168,0.7789473684210526,1227635.6384500002,956263.5499505264,1258.241513092798,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7789473684210526,0.0,8.0,16.0
2,2,2,986.0,1331.0,1101853.1954236382,1438629.7693260072,0.7407963936889557,0.7659046259968973,8,1,1,49.0,41137,7160,33977,0.04444147871346593,0.028534667619728338,1,369.51686668302466,49.0,8,14,True,"{0: 40, 1: 98, 2: 32, 3: 26, 4: 39, 5: 72, 6: 86, 7: 55}","{(0, 3): [(40, 35), (35, 26)], (0, 6): [(40, 62), (62, 86)], (1, 3): [(98, 26)], (1, 6): [(98, 9), (9, 86)], (1, 7): [(98, 40), (40, 55)], (2, 4): [(32, 4), (4, 39)], (2, 5): [(32, 26), (26, 72)], (2, 7): [(32, 26), (26, 55)], (3, 4): [(26, 39)], (4, 5): [(39, 16), (16, 72)], (4, 6): [(39, 26), (26, 86)], (5, 6): [(72, 97), (97, 86)], (5, 7): [(72, 55)], (6, 7): [(86, 26), (26, 55)]}","{(0, 40): {'cpu': 22}, (1, 98): {'cpu': 14}, (2, 32): {'cpu': 25}, (3, 26): {'cpu': 20}, (4, 39): {'cpu': 12}, (5, 72): {'cpu': 33}, (6, 86): {'cpu': 24}, (7, 55): {'cpu': 10}}","{((0, 3), (40, 35)): {'bw': 11}, ((0, 3), (35, 26)): {'bw': 11}, ((0, 6), (40, 62)): {'bw': 7}, ((0, 6), (62, 86)): {'bw': 7}, ((1, 3), (98, 26)): {'bw': 18}, ((1, 6), (98, 9)): {'bw': 44}, ((1, 6), (9, 86)): {'bw': 44}, ((1, 7), (98, 40)): {'bw': 5}, ((1, 7), (40, 55)): {'bw': 5}, ((2, 4), (32, 4)): {'bw': 44}, ((2, 4), (4, 39)): {'bw': 44}, ((2, 5), (32, 26)): {'bw': 1}, ((2, 5), (26, 72)): {'bw': 1}, ((2, 7), (32, 26)): {'bw': 15}, ((2, 7), (26, 55)): {'bw': 15}, ((3, 4), (26, 39)): {'bw': 17}, ((4, 5), (39, 16)): {'bw': 14}, ((4, 5), (16, 72)): {'bw': 14}, ((4, 6), (39, 26)): {'bw': 18}, ((4, 6), (26, 86)): {'bw': 18}, ((5, 6), (72, 97)): {'bw': 15}, ((5, 6), (97, 86)): {'bw': 15}, ((5, 7), (72, 55)): {'bw': 22}, ((6, 7), (86, 26)): {'bw': 3}, ((6, 7), (26, 55)): {'bw': 3}}",571.0,394.0,480.0,160.0,234,160.0,234,160.0,411,177,0.6900175131348512,210994.13087600708,145589.6454731117,254.97310941000302,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6900175131348512,0.0,8.0,14.0
3,3,3,1494.0,2005.0,1407417.3036699183,1844043.5664874103,0.7451371571072319,0.7632234559136849,11,2,1,77.0,40463,6944,33519,0.0732683838249032,0.0416297355253753,2,601.5041500911025,77.0,8,10,True,"{0: 32, 1: 98, 2: 40, 3: 26, 4: 5, 5: 94, 6: 72, 7: 88}","{(0, 1): [(32, 98)], (0, 3): [(32, 26)], (0, 5): [(32, 26), (26, 94)], (2, 3): [(40, 35), (35, 26)], (2, 6): [(40, 72)], (3, 4): [(26, 5)], (4, 6): [(5, 58), (58, 72)], (4, 7): [(5, 94), (94, 88)], (5, 7): [(94, 80), (80, 88)], (6, 7): [(72, 98), (98, 88)]}","{(0, 32): {'cpu': 24}, (1, 98): {'cpu': 11}, (2, 40): {'cpu': 12}, (3, 26): {'cpu': 17}, (4, 5): {'cpu': 42}, (5, 94): {'cpu': 46}, (6, 72): {'cpu': 18}, (7, 88): {'cpu': 46}}","{((0, 1), (32, 98)): {'bw': 38}, ((0, 3), (32, 26)): {'bw': 17}, ((0, 5), (32, 26)): {'bw': 14}, ((0, 5), (26, 94)): {'bw': 14}, ((2, 3), (40, 35)): {'bw': 3}, ((2, 3), (35, 26)): {'bw': 3}, ((2, 6), (40, 72)): {'bw': 39}, ((3, 4), (26, 5)): {'bw': 32}, ((4, 6), (5, 58)): {'bw': 19}, ((4, 6), (58, 72)): {'bw': 19}, ((4, 7), (5, 94)): {'bw': 49}, ((4, 7), (94, 88)): {'bw': 49}, ((5, 7), (94, 80)): {'bw': 35}, ((5, 7), (80, 88)): {'bw': 35}, ((6, 7), (72, 98)): {'bw': 46}, ((6, 7), (98, 88)): {'bw': 46}}",674.0,508.0,648.0,216.0,292,216.0,292,216.0,458,166,0.7537091988130564,405413.79716140305,305564.10824628006,453.35921104789327,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7537091988130564,0.0,8.0,10.0
4,4,4,1983.0,2746.0,1512067.5236634044,2002623.9612014662,0.7221412964311726,0.7550431598532585,13,3,1,104.0,39722,6806,32916,0.09168557320165482,0.05887062187276626,3,214.00862984352997,104.0,8,12,True,"{0: 32, 1: 98, 2: 40, 3: 26, 4: 0, 5: 72, 6: 5, 7: 50}","{(0, 2): [(32, 4), (4, 40)], (0, 5): [(32, 67), (67, 72)], (0, 6): [(32, 22), (22, 5)], (1, 5): [(98, 72)], (1, 6): [(98, 5)], (2, 4): [(40, 22), (22, 0)], (2, 6): [(40, 22), (22, 5)], (3, 4): [(26, 32), (32, 0)], (3, 5): [(26, 79), (79, 72)], (3, 7): [(26, 5), (5, 50)], (4, 5): [(0, 16), (16, 72)], (6, 7): [(5, 50)]}","{(0, 32): {'cpu': 19}, (1, 98): {'cpu': 5}, (2, 40): {'cpu': 2}, (3, 26): {'cpu': 8}, (4, 0): {'cpu': 45}, (5, 72): {'cpu': 11}, (6, 5): {'cpu': 15}, (7, 50): {'cpu': 33}}","{((0, 2), (32, 4)): {'bw': 17}, ((0, 2), (4, 40)): {'bw': 17}, ((0, 5), (32, 67)): {'bw': 44}, ((0, 5), (67, 72)): {'bw': 44}, ((0, 6), (32, 22)): {'bw': 4}, ((0, 6), (22, 5)): {'bw': 4}, ((1, 5), (98, 72)): {'bw': 32}, ((1, 6), (98, 5)): {'bw': 45}, ((2, 4), (40, 22)): {'bw': 44}, ((2, 4), (22, 0)): {'bw': 44}, ((2, 6), (40, 22)): {'bw': 5}, ((2, 6), (22, 5)): {'bw': 5}, ((3, 4), (26, 32)): {'bw': 18}, ((3, 4), (32, 0)): {'bw': 18}, ((3, 5), (26, 79)): {'bw': 50}, ((3, 5), (79, 72)): {'bw': 50}, ((3, 7), (26, 5)): {'bw': 30}, ((3, 7), (5, 50)): {'bw': 30}, ((4, 5), (0, 16)): {'bw': 40}, ((4, 5), (16, 72)): {'bw': 40}, ((6, 7), (5, 50)): {'bw': 22}}",741.0,489.0,414.0,138.0,351,138.0,351,138.0,603,252,0.659919028340081,158580.3947140557,104650.21999348616,141.22836706273435,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.659919028340081,0.0,8.0,12.0
5,5,5,2571.0,3690.0,2173488.292555143,3064496.760238543,0.6967479674796748,0.7092480307879186,15,4,1,136.0,38778,6625,32153,0.11584145202188711,0.08068620443173691,4,1124.8652532172423,136.0,8,18,True,"{0: 32, 1: 98, 2: 63, 3: 94, 4: 26, 5: 5, 6: 50, 7: 74}","{(0, 2): [(32, 63)], (0, 3): [(32, 63), (63, 94)], (0, 5): [(32, 22), (22, 5)], (0, 6): [(32, 50)], (0, 7): [(32, 50), (50, 74)], (1, 2): [(98, 63)], (1, 6): [(98, 61), (61, 50)], (1, 7): [(98, 74)], (2, 3): [(63, 94)], (2, 4): [(63, 6), (6, 26)], (2, 5): [(63, 50), (50, 74), (74, 5)], (2, 6): [(63, 50)], (3, 5): [(94, 26), (26, 35), (35, 5)], (3, 7): [(94, 74)], (4, 6): [(26, 32), (32, 50)], (5, 6): [(5, 50)], (5, 7): [(5, 74)], (6, 7): [(50, 36), (36, 74)]}","{(0, 32): {'cpu': 14}, (1, 98): {'cpu': 34}, (2, 63): {'cpu': 31}, (3, 94): {'cpu': 29}, (4, 26): {'cpu': 15}, (5, 5): {'cpu': 12}, (6, 50): {'cpu': 15}, (7, 74): {'cpu': 31}}","{((0, 2), (32, 63)): {'bw': 35}, ((0, 3), (32, 63)): {'bw': 36}, ((0, 3), (63, 94)): {'bw': 36}, ((0, 5), (32, 22)): {'bw': 16}, ((0, 5), (22, 5)): {'bw': 16}, ((0, 6), (32, 50)): {'bw': 17}, ((0, 7), (32, 50)): {'bw': 16}, ((0, 7), (50, 74)): {'bw': 16}, ((1, 2), (98, 63)): {'bw': 1}, ((1, 6), (98, 61)): {'bw': 28}, ((1, 6), (61, 50)): {'bw': 28}, ((1, 7), (98, 74)): {'bw': 23}, ((2, 3), (63, 94)): {'bw': 4}, ((2, 4), (63, 6)): {'bw': 49}, ((2, 4), (6, 26)): {'bw': 49}, ((2, 5), (63, 50)): {'bw': 33}, ((2, 5), (50, 74)): {'bw': 33}, ((2, 5), (74, 5)): {'bw': 33}, ((2, 6), (63, 50)): {'bw': 4}, ((3, 5), (94, 26)): {'bw': 47}, ((3, 5), (26, 35)): {'bw': 47}, ((3, 5), (35, 5)): {'bw': 47}, ((3, 7), (94, 74)): {'bw': 28}, ((4, 6), (26, 32)): {'bw': 17}, ((4, 6), (32, 50)): {'bw': 17}, ((5, 6), (5, 50)): {'bw': 13}, ((5, 7), (5, 74)): {'bw': 6}, ((6, 7), (50, 36)): {'bw': 34}, ((6, 7), (36, 74)): {'bw': 34}}",944.0,588.0,543.0,181.0,407,181.0,407,181.0,763,356,0.6228813559322034,1061872.7990370768,661420.7688917385,700.6575941649772,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6228813559322034,0.0,8.0,18.0
6,6,6,3145.0,4397.0,2318937.891218393,3243648.0951774246,0.7152604048214691,0.7149166072195478,22,5,1,160.0,38071,6376,31695,0.14907246763646065,0.09378127233738387,5,253.39651335061004,160.0,8,17,True,"{0: 83, 1: 16, 2: 4, 3: 81, 4: 62, 5: 90, 6: 39, 7: 25}","{(0, 2): [(83, 16), (16, 4)], (0, 3): [(83, 81)], (0, 5): [(83, 90)], (0, 7): [(83, 25)], (1, 2): [(16, 4)], (1, 3): [(16, 83), (83, 81)], (1, 4): [(16, 83), (83, 62)], (1, 5): [(16, 83), (83, 90)], (1, 6): [(16, 39)], (2, 4): [(4, 40), (40, 62)], (3, 5): [(81, 90)], (3, 6): [(81, 39)], (3, 7): [(81, 83), (83, 25)], (4, 5): [(62, 90)], (4, 6): [(62, 40), (40, 39)], (5, 7): [(90, 25)], (6, 7): [(39, 16), (16, 0), (0, 25)]}","{(0, 83): {'cpu': 48}, (1, 16): {'cpu': 50}, (2, 4): {'cpu': 25}, (3, 81): {'cpu': 37}, (4, 62): {'cpu': 25}, (5, 90): {'cpu': 32}, (6, 39): {'cpu': 5}, (7, 25): {'cpu': 27}}","{((0, 2), (83, 16)): {'bw': 16}, ((0, 2), (16, 4)): {'bw': 16}, ((0, 3), (83, 81)): {'bw': 7}, ((0, 5), (83, 90)): {'bw': 29}, ((0, 7), (83, 25)): {'bw': 24}, ((1, 2), (16, 4)): {'bw': 33}, ((1, 3), (16, 83)): {'bw': 44}, ((1, 3), (83, 81)): {'bw': 44}, ((1, 4), (16, 83)): {'bw': 5}, ((1, 4), (83, 62)): {'bw': 5}, ((1, 5), (16, 83)): {'bw': 10}, ((1, 5), (83, 90)): {'bw': 10}, ((1, 6), (16, 39)): {'bw': 6}, ((2, 4), (4, 40)): {'bw': 12}, ((2, 4), (40, 62)): {'bw': 12}, ((3, 5), (81, 90)): {'bw': 19}, ((3, 6), (81, 39)): {'bw': 47}, ((3, 7), (81, 83)): {'bw': 16}, ((3, 7), (83, 25)): {'bw': 16}, ((4, 5), (62, 90)): {'bw': 14}, ((4, 6), (62, 40)): {'bw': 6}, ((4, 6), (40, 39)): {'bw': 6}, ((5, 7), (90, 25)): {'bw': 25}, ((6, 7), (39, 16)): {'bw': 12}, ((6, 7), (16, 0)): {'bw': 12}, ((6, 7), (0, 25)): {'bw': 12}}",707.0,574.0,747.0,249.0,325,249.0,325,249.0,458,133,0.8118811881188119,179151.3349388813,145449.59866325016,205.72786232425767,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.8118811881188119,0.0,8.0,17.0
7,7,7,3632.0,5289.0,2797995.1701075723,4121100.031048365,0.6867082624314615,0.6789437647782094,23,6,1,182.0,37179,6217,30962,0.17029227278793546,0.11473909935668336,6,983.6905110660763,182.0,8,13,True,"{0: 26, 1: 81, 2: 4, 3: 62, 4: 55, 5: 86, 6: 0, 7: 96}","{(0, 4): [(26, 55)], (1, 2): [(81, 4)], (1, 3): [(81, 62)], (1, 4): [(81, 62), (62, 31), (31, 55)], (2, 5): [(4, 81), (81, 86)], (2, 6): [(4, 22), (22, 0)], (2, 7): [(4, 24), (24, 96)], (3, 4): [(62, 31), (31, 55)], (3, 6): [(62, 86), (86, 0)], (3, 7): [(62, 86), (86, 0), (0, 96)], (4, 6): [(55, 16), (16, 54), (54, 0)], (5, 7): [(86, 13), (13, 0), (0, 96)], (6, 7): [(0, 96)]}","{(0, 26): {'cpu': 6}, (1, 81): {'cpu': 33}, (2, 4): {'cpu': 24}, (3, 62): {'cpu': 27}, (4, 55): {'cpu': 8}, (5, 86): {'cpu': 6}, (6, 0): {'cpu': 20}, (7, 96): {'cpu': 35}}","{((0, 4), (26, 55)): {'bw': 4}, ((1, 2), (81, 4)): {'bw': 25}, ((1, 3), (81, 62)): {'bw': 14}, ((1, 4), (81, 62)): {'bw': 48}, ((1, 4), (62, 31)): {'bw': 48}, ((1, 4), (31, 55)): {'bw': 48}, ((2, 5), (4, 81)): {'bw': 10}, ((2, 5), (81, 86)): {'bw': 10}, ((2, 6), (4, 22)): {'bw': 44}, ((2, 6), (22, 0)): {'bw': 44}, ((2, 7), (4, 24)): {'bw': 3}, ((2, 7), (24, 96)): {'bw': 3}, ((3, 4), (62, 31)): {'bw': 38}, ((3, 4), (31, 55)): {'bw': 38}, ((3, 6), (62, 86)): {'bw': 10}, ((3, 6), (86, 0)): {'bw': 10}, ((3, 7), (62, 86)): {'bw': 20}, ((3, 7), (86, 0)): {'bw': 20}, ((3, 7), (0, 96)): {'bw': 20}, ((4, 6), (55, 16)): {'bw': 40}, ((4, 6), (16, 54)): {'bw': 40}, ((4, 6), (54, 0)): {'bw': 40}, ((5, 7), (86, 13)): {'bw': 42}, ((5, 7), (13, 0)): {'bw': 42}, ((5, 7), (0, 96)): {'bw': 42}, ((6, 7), (0, 96)): {'bw': 30}}",892.0,487.0,477.0,159.0,328,159.0,328,159.0,733,405,0.5459641255605381,877451.9358709401,479057.2788891792,537.0597296963891,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.5459641255605381,0.0,8.0,13.0
8,8,8,4238.0,6232.0,3212500.616709679,4766114.28211402,0.6800385109114249,0.6740292881279313,28,7,1,210.0,36236,5959,30277,0.20472440944881887,0.13432451751250896,7,684.0023871321893,210.0,8,15,True,"{0: 18, 1: 5, 2: 12, 3: 42, 4: 63, 5: 6, 6: 34, 7: 50}","{(0, 4): [(18, 63)], (0, 5): [(18, 42), (42, 6)], (1, 2): [(5, 12)], (1, 3): [(5, 12), (12, 42)], (1, 6): [(5, 34)], (2, 4): [(12, 1), (1, 40), (40, 63)], (2, 6): [(12, 5), (5, 34)], (2, 7): [(12, 46), (46, 97), (97, 50)], (3, 4): [(42, 18), (18, 63)], (3, 5): [(42, 6)], (4, 5): [(63, 49), (49, 6)], (4, 6): [(63, 6), (6, 34)], (4, 7): [(63, 50)], (5, 6): [(6, 34)], (5, 7): [(6, 10), (10, 50)]}","{(0, 18): {'cpu': 39}, (1, 5): {'cpu': 12}, (2, 12): {'cpu': 50}, (3, 42): {'cpu': 41}, (4, 63): {'cpu': 44}, (5, 6): {'cpu': 28}, (6, 34): {'cpu': 33}, (7, 50): {'cpu': 11}}","{((0, 4), (18, 63)): {'bw': 46}, ((0, 5), (18, 42)): {'bw': 31}, ((0, 5), (42, 6)): {'bw': 31}, ((1, 2), (5, 12)): {'bw': 7}, ((1, 3), (5, 12)): {'bw': 31}, ((1, 3), (12, 42)): {'bw': 31}, ((1, 6), (5, 34)): {'bw': 8}, ((2, 4), (12, 1)): {'bw': 47}, ((2, 4), (1, 40)): {'bw': 47}, ((2, 4), (40, 63)): {'bw': 47}, ((2, 6), (12, 5)): {'bw': 24}, ((2, 6), (5, 34)): {'bw': 24}, ((2, 7), (12, 46)): {'bw': 38}, ((2, 7), (46, 97)): {'bw': 38}, ((2, 7), (97, 50)): {'bw': 38}, ((3, 4), (42, 18)): {'bw': 18}, ((3, 4), (18, 63)): {'bw': 18}, ((3, 5), (42, 6)): {'bw': 11}, ((4, 5), (63, 49)): {'bw': 35}, ((4, 5), (49, 6)): {'bw': 35}, ((4, 6), (63, 6)): {'bw': 12}, ((4, 6), (6, 34)): {'bw': 12}, ((4, 7), (63, 50)): {'bw': 13}, ((5, 6), (6, 34)): {'bw': 11}, ((5, 7), (6, 10)): {'bw': 16}, ((5, 7), (10, 50)): {'bw': 16}}",943.0,606.0,774.0,258.0,348,258.0,348,258.0,685,337,0.6426299045599152,645014.2510656544,414505.4466021067,439.56038876151297,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6426299045599152,0.0,8.0,15.0
9,9,9,4927.0,7325.0,3514313.128549067,5244896.684785211,0.6726279863481228,0.6700443001563118,30,8,1,238.0,35143,5828,29315,0.22220739356732955,0.16182987848463193,8,438.0442842371378,238.0,8,20,True,"{0: 98, 1: 25, 2: 40, 3: 61, 4: 96, 5: 88, 6: 80, 7: 72}","{(0, 1): [(98, 25)], (0, 2): [(98, 40)], (0, 3): [(98, 61)], (0, 4): [(98, 96)], (0, 5): [(98, 88)], (0, 6): [(98, 52), (52, 11), (11, 80)], (0, 7): [(98, 74), (74, 72)], (1, 3): [(25, 98), (98, 61)], (1, 6): [(25, 37), (37, 80)], (1, 7): [(25, 0), (0, 89), (89, 72)], (2, 3): [(40, 61)], (2, 4): [(40, 61), (61, 96)], (2, 6): [(40, 80)], (2, 7): [(40, 55), (55, 72)], (3, 4): [(61, 96)], (3, 5): [(61, 88)], (3, 6): [(61, 11), (11, 80)], (4, 6): [(96, 37), (37, 80)], (5, 6): [(88, 80)], (5, 7): [(88, 40), (40, 89), (89, 72)]}","{(0, 98): {'cpu': 4}, (1, 25): {'cpu': 19}, (2, 40): {'cpu': 0}, (3, 61): {'cpu': 49}, (4, 96): {'cpu': 22}, (5, 88): {'cpu': 8}, (6, 80): {'cpu': 17}, (7, 72): {'cpu': 12}}","{((0, 1), (98, 25)): {'bw': 46}, ((0, 2), (98, 40)): {'bw': 41}, ((0, 3), (98, 61)): {'bw': 23}, ((0, 4), (98, 96)): {'bw': 15}, ((0, 5), (98, 88)): {'bw': 43}, ((0, 6), (98, 52)): {'bw': 33}, ((0, 6), (52, 11)): {'bw': 33}, ((0, 6), (11, 80)): {'bw': 33}, ((0, 7), (98, 74)): {'bw': 26}, ((0, 7), (74, 72)): {'bw': 26}, ((1, 3), (25, 98)): {'bw': 2}, ((1, 3), (98, 61)): {'bw': 2}, ((1, 6), (25, 37)): {'bw': 48}, ((1, 6), (37, 80)): {'bw': 48}, ((1, 7), (25, 0)): {'bw': 43}, ((1, 7), (0, 89)): {'bw': 43}, ((1, 7), (89, 72)): {'bw': 43}, ((2, 3), (40, 61)): {'bw': 26}, ((2, 4), (40, 61)): {'bw': 33}, ((2, 4), (61, 96)): {'bw': 33}, ((2, 6), (40, 80)): {'bw': 8}, ((2, 7), (40, 55)): {'bw': 10}, ((2, 7), (55, 72)): {'bw': 10}, ((3, 4), (61, 96)): {'bw': 1}, ((3, 5), (61, 88)): {'bw': 32}, ((3, 6), (61, 11)): {'bw': 48}, ((3, 6), (11, 80)): {'bw': 48}, ((4, 6), (96, 37)): {'bw': 43}, ((4, 6), (37, 80)): {'bw': 43}, ((5, 6), (88, 80)): {'bw': 16}, ((5, 7), (88, 40)): {'bw': 21}, ((5, 7), (40, 89)): {'bw': 21}, ((5, 7), (89, 72)): {'bw': 21}}",1093.0,689.0,393.0,131.0,558,131.0,558,131.0,962,404,0.6303751143641354,478782.4026711916,301812.51183938794,276.13221577254154,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6303751143641354,0.0,8.0,20.0
10,10,10,5614.0,8457.0,3804103.944491886,5722397.709017048,0.6638287808915692,0.664774477051391,33,9,1,262.0,34011,5699,28312,0.2394234618977713,0.19050750536097216,9,421.8206927843074,262.0,8,21,True,"{0: 26, 1: 79, 2: 32, 3: 65, 4: 81, 5: 64, 6: 39, 7: 94}","{(0, 2): [(26, 6), (6, 10), (10, 32)], (0, 4): [(26, 81)], (0, 5): [(26, 48), (48, 64)], (0, 6): [(26, 39)], (0, 7): [(26, 94)], (1, 3): [(79, 65)], (1, 4): [(79, 32), (32, 4), (4, 81)], (1, 5): [(79, 32), (32, 64)], (1, 6): [(79, 26), (26, 39)], (1, 7): [(79, 65), (65, 94)], (2, 5): [(32, 64)], (2, 7): [(32, 26), (26, 94)], (3, 5): [(65, 15), (15, 87), (87, 64)], (3, 6): [(65, 39)], (3, 7): [(65, 94)], (4, 5): [(81, 27), (27, 64)], (4, 6): [(81, 39)], (4, 7): [(81, 90), (90, 94)], (5, 6): [(64, 27), (27, 81), (81, 39)], (5, 7): [(64, 87), (87, 94)], (6, 7): [(39, 65), (65, 94)]}","{(0, 26): {'cpu': 5}, (1, 79): {'cpu': 42}, (2, 32): {'cpu': 1}, (3, 65): {'cpu': 20}, (4, 81): {'cpu': 19}, (5, 64): {'cpu': 35}, (6, 39): {'cpu': 2}, (7, 94): {'cpu': 5}}","{((0, 2), (26, 6)): {'bw': 36}, ((0, 2), (6, 10)): {'bw': 36}, ((0, 2), (10, 32)): {'bw': 36}, ((0, 4), (26, 81)): {'bw': 39}, ((0, 5), (26, 48)): {'bw': 40}, ((0, 5), (48, 64)): {'bw': 40}, ((0, 6), (26, 39)): {'bw': 38}, ((0, 7), (26, 94)): {'bw': 9}, ((1, 3), (79, 65)): {'bw': 27}, ((1, 4), (79, 32)): {'bw': 17}, ((1, 4), (32, 4)): {'bw': 17}, ((1, 4), (4, 81)): {'bw': 17}, ((1, 5), (79, 32)): {'bw': 37}, ((1, 5), (32, 64)): {'bw': 37}, ((1, 6), (79, 26)): {'bw': 14}, ((1, 6), (26, 39)): {'bw': 14}, ((1, 7), (79, 65)): {'bw': 26}, ((1, 7), (65, 94)): {'bw': 26}, ((2, 5), (32, 64)): {'bw': 5}, ((2, 7), (32, 26)): {'bw': 2}, ((2, 7), (26, 94)): {'bw': 2}, ((3, 5), (65, 15)): {'bw': 47}, ((3, 5), (15, 87)): {'bw': 47}, ((3, 5), (87, 64)): {'bw': 47}, ((3, 6), (65, 39)): {'bw': 28}, ((3, 7), (65, 94)): {'bw': 37}, ((4, 5), (81, 27)): {'bw': 24}, ((4, 5), (27, 64)): {'bw': 24}, ((4, 6), (81, 39)): {'bw': 30}, ((4, 7), (81, 90)): {'bw': 50}, ((4, 7), (90, 94)): {'bw': 50}, ((5, 6), (64, 27)): {'bw': 0}, ((5, 6), (27, 81)): {'bw': 0}, ((5, 6), (81, 39)): {'bw': 0}, ((5, 7), (64, 87)): {'bw': 34}, ((5, 7), (87, 94)): {'bw': 34}, ((6, 7), (39, 65)): {'bw': 18}, ((6, 7), (65, 94)): {'bw': 18}}",1132.0,687.0,387.0,129.0,558,129.0,558,129.0,1003,445,0.6068904593639576,477501.024231836,289790.81594281923,255.99895401309115,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6068904593639576,0.0,8.0,21.0
