v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,491.0,658.0,52482.10252422148,70332.43067400761,0.7462006079027356,0.7462006079027355,8,0,1,30.0,41810,7296,34514,0.026291205124783112,0.013180843459614011,0,106.88819251368938,30.0,8,13,True,"{0: 40, 1: 98, 2: 88, 3: 39, 4: 32, 5: 86, 6: 26, 7: 90}","{(0, 2): [(40, 88)], (0, 3): [(40, 39)], (0, 4): [(40, 4), (4, 32)], (0, 5): [(40, 62), (62, 86)], (0, 7): [(40, 62), (62, 90)], (1, 2): [(98, 88)], (1, 4): [(98, 32)], (1, 5): [(98, 9), (9, 86)], (2, 4): [(88, 4), (4, 32)], (2, 7): [(88, 94), (94, 90)], (3, 7): [(39, 57), (57, 90)], (4, 7): [(32, 10), (10, 6), (6, 90)], (5, 6): [(86, 26)]}","{(0, 40): {'cpu': 18}, (1, 98): {'cpu': 11}, (2, 88): {'cpu': 17}, (3, 39): {'cpu': 27}, (4, 32): {'cpu': 30}, (5, 86): {'cpu': 16}, (6, 26): {'cpu': 29}, (7, 90): {'cpu': 49}}","{((0, 2), (40, 88)): {'bw': 28}, ((0, 3), (40, 39)): {'bw': 25}, ((0, 4), (40, 4)): {'bw': 6}, ((0, 4), (4, 32)): {'bw': 6}, ((0, 5), (40, 62)): {'bw': 48}, ((0, 5), (62, 86)): {'bw': 48}, ((0, 7), (40, 62)): {'bw': 3}, ((0, 7), (62, 90)): {'bw': 3}, ((1, 2), (98, 88)): {'bw': 16}, ((1, 4), (98, 32)): {'bw': 38}, ((1, 5), (98, 9)): {'bw': 3}, ((1, 5), (9, 86)): {'bw': 3}, ((2, 4), (88, 4)): {'bw': 1}, ((2, 4), (4, 32)): {'bw': 1}, ((2, 7), (88, 94)): {'bw': 3}, ((2, 7), (94, 90)): {'bw': 3}, ((3, 7), (39, 57)): {'bw': 43}, ((3, 7), (57, 90)): {'bw': 43}, ((4, 7), (32, 10)): {'bw': 30}, ((4, 7), (10, 6)): {'bw': 30}, ((4, 7), (6, 90)): {'bw': 30}, ((5, 6), (86, 26)): {'bw': 50}}",658.0,491.0,591.0,197.0,294,197.0,294,197.0,461,167,0.7462006079027356,70332.43067400761,52482.10252422148,79.76003423133965,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7462006079027356,0.0,8.0,13.0
2,2,2,1008.0,1389.0,330865.4636049399,463946.04179587454,0.7257019438444925,0.7131550520922711,11,1,1,55.0,41079,7050,34029,0.05912184705725343,0.02704789135096497,1,538.4591123418152,55.0,8,10,True,"{0: 32, 1: 98, 2: 5, 3: 79, 4: 40, 5: 26, 6: 72, 7: 86}","{(0, 2): [(32, 22), (22, 5)], (0, 3): [(32, 79)], (0, 5): [(32, 26)], (0, 6): [(32, 26), (26, 72)], (1, 3): [(98, 79)], (1, 7): [(98, 5), (5, 13), (13, 86)], (2, 7): [(5, 13), (13, 86)], (3, 4): [(79, 72), (72, 40)], (4, 6): [(40, 72)], (6, 7): [(72, 26), (26, 86)]}","{(0, 32): {'cpu': 5}, (1, 98): {'cpu': 47}, (2, 5): {'cpu': 44}, (3, 79): {'cpu': 47}, (4, 40): {'cpu': 14}, (5, 26): {'cpu': 34}, (6, 72): {'cpu': 23}, (7, 86): {'cpu': 32}}","{((0, 2), (32, 22)): {'bw': 42}, ((0, 2), (22, 5)): {'bw': 42}, ((0, 3), (32, 79)): {'bw': 41}, ((0, 5), (32, 26)): {'bw': 29}, ((0, 6), (32, 26)): {'bw': 25}, ((0, 6), (26, 72)): {'bw': 25}, ((1, 3), (98, 79)): {'bw': 18}, ((1, 7), (98, 5)): {'bw': 50}, ((1, 7), (5, 13)): {'bw': 50}, ((1, 7), (13, 86)): {'bw': 50}, ((2, 7), (5, 13)): {'bw': 21}, ((2, 7), (13, 86)): {'bw': 21}, ((3, 4), (79, 72)): {'bw': 17}, ((3, 4), (72, 40)): {'bw': 17}, ((4, 6), (40, 72)): {'bw': 19}, ((6, 7), (72, 26)): {'bw': 9}, ((6, 7), (26, 86)): {'bw': 9}}",731.0,517.0,738.0,246.0,271,246.0,271,246.0,485,214,0.707250341997264,393613.6111218669,278383.36108071846,380.82539135529197,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.707250341997264,0.0,8.0,10.0
3,3,3,1611.0,2247.0,641199.7679233958,905516.2459504933,0.7169559412550067,0.708104101710895,14,2,1,70.0,40221,6857,33364,0.08487922060589881,0.04606147248034309,2,514.6505875927958,70.0,8,14,True,"{0: 4, 1: 40, 2: 39, 3: 0, 4: 16, 5: 32, 6: 26, 7: 98}","{(0, 2): [(4, 39)], (0, 3): [(4, 16), (16, 0)], (0, 4): [(4, 16)], (0, 5): [(4, 32)], (0, 6): [(4, 32), (32, 26)], (1, 2): [(40, 39)], (1, 5): [(40, 4), (4, 32)], (1, 6): [(40, 35), (35, 26)], (1, 7): [(40, 98)], (2, 3): [(39, 16), (16, 0)], (2, 6): [(39, 26)], (2, 7): [(39, 26), (26, 98)], (3, 7): [(0, 25), (25, 98)], (4, 6): [(16, 35), (35, 26)]}","{(0, 4): {'cpu': 33}, (1, 40): {'cpu': 30}, (2, 39): {'cpu': 32}, (3, 0): {'cpu': 15}, (4, 16): {'cpu': 36}, (5, 32): {'cpu': 22}, (6, 26): {'cpu': 9}, (7, 98): {'cpu': 16}}","{((0, 2), (4, 39)): {'bw': 16}, ((0, 3), (4, 16)): {'bw': 25}, ((0, 3), (16, 0)): {'bw': 25}, ((0, 4), (4, 16)): {'bw': 40}, ((0, 5), (4, 32)): {'bw': 10}, ((0, 6), (4, 32)): {'bw': 46}, ((0, 6), (32, 26)): {'bw': 46}, ((1, 2), (40, 39)): {'bw': 42}, ((1, 5), (40, 4)): {'bw': 19}, ((1, 5), (4, 32)): {'bw': 19}, ((1, 6), (40, 35)): {'bw': 7}, ((1, 6), (35, 26)): {'bw': 7}, ((1, 7), (40, 98)): {'bw': 22}, ((2, 3), (39, 16)): {'bw': 28}, ((2, 3), (16, 0)): {'bw': 28}, ((2, 6), (39, 26)): {'bw': 25}, ((2, 7), (39, 26)): {'bw': 50}, ((2, 7), (26, 98)): {'bw': 50}, ((3, 7), (0, 25)): {'bw': 38}, ((3, 7), (25, 98)): {'bw': 38}, ((4, 6), (16, 35)): {'bw': 42}, ((4, 6), (35, 26)): {'bw': 42}}",858.0,603.0,579.0,193.0,410,193.0,410,193.0,665,255,0.7027972027972028,441570.2041546188,310334.30431845586,361.6949933781537,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7027972027972028,0.0,8.0,14.0
4,4,4,2344.0,3576.0,1927029.4820430537,3236850.065957349,0.6554809843400448,0.5953409774243296,19,3,1,98.0,38892,6629,32263,0.11530762044574938,0.07754110078627596,3,1754.201519944963,98.0,8,19,True,"{0: 29, 1: 32, 2: 0, 3: 83, 4: 97, 5: 16, 6: 55, 7: 50}","{(0, 1): [(29, 15), (15, 65), (65, 32)], (0, 2): [(29, 31), (31, 68), (68, 0)], (0, 4): [(29, 15), (15, 70), (70, 97)], (0, 6): [(29, 55)], (0, 7): [(29, 39), (39, 4), (4, 50)], (1, 2): [(32, 0)], (1, 3): [(32, 37), (37, 83)], (1, 4): [(32, 22), (22, 97)], (1, 5): [(32, 67), (67, 16)], (1, 6): [(32, 65), (65, 55)], (1, 7): [(32, 50)], (2, 5): [(0, 54), (54, 16)], (2, 6): [(0, 13), (13, 58), (58, 55)], (2, 7): [(0, 50)], (3, 6): [(83, 16), (16, 55)], (3, 7): [(83, 21), (21, 5), (5, 50)], (4, 5): [(97, 72), (72, 16)], (5, 7): [(16, 4), (4, 50)], (6, 7): [(55, 26), (26, 5), (5, 50)]}","{(0, 29): {'cpu': 12}, (1, 32): {'cpu': 33}, (2, 0): {'cpu': 29}, (3, 83): {'cpu': 44}, (4, 97): {'cpu': 21}, (5, 16): {'cpu': 17}, (6, 55): {'cpu': 26}, (7, 50): {'cpu': 46}}","{((0, 1), (29, 15)): {'bw': 2}, ((0, 1), (15, 65)): {'bw': 2}, ((0, 1), (65, 32)): {'bw': 2}, ((0, 2), (29, 31)): {'bw': 34}, ((0, 2), (31, 68)): {'bw': 34}, ((0, 2), (68, 0)): {'bw': 34}, ((0, 4), (29, 15)): {'bw': 15}, ((0, 4), (15, 70)): {'bw': 15}, ((0, 4), (70, 97)): {'bw': 15}, ((0, 6), (29, 55)): {'bw': 16}, ((0, 7), (29, 39)): {'bw': 35}, ((0, 7), (39, 4)): {'bw': 35}, ((0, 7), (4, 50)): {'bw': 35}, ((1, 2), (32, 0)): {'bw': 22}, ((1, 3), (32, 37)): {'bw': 33}, ((1, 3), (37, 83)): {'bw': 33}, ((1, 4), (32, 22)): {'bw': 45}, ((1, 4), (22, 97)): {'bw': 45}, ((1, 5), (32, 67)): {'bw': 43}, ((1, 5), (67, 16)): {'bw': 43}, ((1, 6), (32, 65)): {'bw': 20}, ((1, 6), (65, 55)): {'bw': 20}, ((1, 7), (32, 50)): {'bw': 38}, ((2, 5), (0, 54)): {'bw': 32}, ((2, 5), (54, 16)): {'bw': 32}, ((2, 6), (0, 13)): {'bw': 47}, ((2, 6), (13, 58)): {'bw': 47}, ((2, 6), (58, 55)): {'bw': 47}, ((2, 7), (0, 50)): {'bw': 6}, ((3, 6), (83, 16)): {'bw': 34}, ((3, 6), (16, 55)): {'bw': 34}, ((3, 7), (83, 21)): {'bw': 29}, ((3, 7), (21, 5)): {'bw': 29}, ((3, 7), (5, 50)): {'bw': 29}, ((4, 5), (97, 72)): {'bw': 24}, ((4, 5), (72, 16)): {'bw': 24}, ((5, 7), (16, 4)): {'bw': 19}, ((5, 7), (4, 50)): {'bw': 19}, ((6, 7), (55, 26)): {'bw': 11}, ((6, 7), (26, 5)): {'bw': 11}, ((6, 7), (5, 50)): {'bw': 11}}",1329.0,733.0,684.0,228.0,505,228.0,505,228.0,1101,596,0.5515425131677953,2331333.8200068558,1285829.7141196579,967.5167149132113,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.5515425131677953,0.0,8.0,19.0
5,5,5,2975.0,4618.0,2085981.749948353,3499335.4275378906,0.644218276310091,0.5961079733976906,23,4,1,109.0,37850,6393,31457,0.1468036834378753,0.10058613295210861,4,251.90533740934913,109.0,8,15,True,"{0: 25, 1: 72, 2: 80, 3: 94, 4: 55, 5: 88, 6: 67, 7: 32}","{(0, 1): [(25, 90), (90, 72)], (0, 6): [(25, 98), (98, 67)], (0, 7): [(25, 37), (37, 32)], (1, 2): [(72, 40), (40, 80)], (1, 4): [(72, 55)], (1, 5): [(72, 40), (40, 88)], (2, 4): [(80, 15), (15, 55)], (2, 5): [(80, 88)], (2, 6): [(80, 94), (94, 67)], (2, 7): [(80, 15), (15, 65), (65, 32)], (3, 5): [(94, 88)], (3, 7): [(94, 63), (63, 32)], (4, 5): [(55, 88)], (4, 7): [(55, 26), (26, 79), (79, 32)], (5, 6): [(88, 4), (4, 24), (24, 67)]}","{(0, 25): {'cpu': 17}, (1, 72): {'cpu': 48}, (2, 80): {'cpu': 39}, (3, 94): {'cpu': 42}, (4, 55): {'cpu': 28}, (5, 88): {'cpu': 41}, (6, 67): {'cpu': 14}, (7, 32): {'cpu': 7}}","{((0, 1), (25, 90)): {'bw': 15}, ((0, 1), (90, 72)): {'bw': 15}, ((0, 6), (25, 98)): {'bw': 44}, ((0, 6), (98, 67)): {'bw': 44}, ((0, 7), (25, 37)): {'bw': 37}, ((0, 7), (37, 32)): {'bw': 37}, ((1, 2), (72, 40)): {'bw': 18}, ((1, 2), (40, 80)): {'bw': 18}, ((1, 4), (72, 55)): {'bw': 42}, ((1, 5), (72, 40)): {'bw': 10}, ((1, 5), (40, 88)): {'bw': 10}, ((2, 4), (80, 15)): {'bw': 1}, ((2, 4), (15, 55)): {'bw': 1}, ((2, 5), (80, 88)): {'bw': 48}, ((2, 6), (80, 94)): {'bw': 46}, ((2, 6), (94, 67)): {'bw': 46}, ((2, 7), (80, 15)): {'bw': 21}, ((2, 7), (15, 65)): {'bw': 21}, ((2, 7), (65, 32)): {'bw': 21}, ((3, 5), (94, 88)): {'bw': 0}, ((3, 7), (94, 63)): {'bw': 22}, ((3, 7), (63, 32)): {'bw': 22}, ((4, 5), (55, 88)): {'bw': 3}, ((4, 7), (55, 26)): {'bw': 46}, ((4, 7), (26, 79)): {'bw': 46}, ((4, 7), (79, 32)): {'bw': 46}, ((5, 6), (88, 4)): {'bw': 42}, ((5, 6), (4, 24)): {'bw': 42}, ((5, 6), (24, 67)): {'bw': 42}}",1042.0,631.0,708.0,236.0,395,236.0,395,236.0,806,411,0.6055662188099808,262485.36158054176,158952.2679052993,152.54536267303197,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6055662188099808,0.0,8.0,15.0
6,6,6,3456.0,5270.0,2595692.8281383743,4190253.562631225,0.6557874762808349,0.619459607716063,27,5,1,126.0,37198,6190,31008,0.17389563592686508,0.1134238741958542,5,1059.6903912474456,126.0,8,14,True,"{0: 39, 1: 5, 2: 81, 3: 58, 4: 74, 5: 0, 6: 97, 7: 22}","{(0, 2): [(39, 81)], (0, 4): [(39, 36), (36, 74)], (0, 5): [(39, 16), (16, 0)], (0, 6): [(39, 81), (81, 97)], (0, 7): [(39, 7), (7, 22)], (1, 2): [(5, 26), (26, 81)], (1, 3): [(5, 58)], (1, 6): [(5, 50), (50, 97)], (2, 4): [(81, 4), (4, 50), (50, 74)], (2, 7): [(81, 4), (4, 22)], (3, 4): [(58, 74)], (3, 6): [(58, 22), (22, 97)], (3, 7): [(58, 22)], (4, 7): [(74, 58), (58, 22)]}","{(0, 39): {'cpu': 8}, (1, 5): {'cpu': 21}, (2, 81): {'cpu': 33}, (3, 58): {'cpu': 18}, (4, 74): {'cpu': 47}, (5, 0): {'cpu': 15}, (6, 97): {'cpu': 47}, (7, 22): {'cpu': 14}}","{((0, 2), (39, 81)): {'bw': 20}, ((0, 4), (39, 36)): {'bw': 34}, ((0, 4), (36, 74)): {'bw': 34}, ((0, 5), (39, 16)): {'bw': 7}, ((0, 5), (16, 0)): {'bw': 7}, ((0, 6), (39, 81)): {'bw': 44}, ((0, 6), (81, 97)): {'bw': 44}, ((0, 7), (39, 7)): {'bw': 36}, ((0, 7), (7, 22)): {'bw': 36}, ((1, 2), (5, 26)): {'bw': 9}, ((1, 2), (26, 81)): {'bw': 9}, ((1, 3), (5, 58)): {'bw': 26}, ((1, 6), (5, 50)): {'bw': 14}, ((1, 6), (50, 97)): {'bw': 14}, ((2, 4), (81, 4)): {'bw': 2}, ((2, 4), (4, 50)): {'bw': 2}, ((2, 4), (50, 74)): {'bw': 2}, ((2, 7), (81, 4)): {'bw': 6}, ((2, 7), (4, 22)): {'bw': 6}, ((3, 4), (58, 74)): {'bw': 30}, ((3, 6), (58, 22)): {'bw': 3}, ((3, 6), (22, 97)): {'bw': 3}, ((3, 7), (58, 22)): {'bw': 33}, ((4, 7), (74, 58)): {'bw': 14}, ((4, 7), (58, 22)): {'bw': 14}}",652.0,481.0,609.0,203.0,278,203.0,278,203.0,449,171,0.7377300613496932,690918.1350933346,509711.07819002133,781.7654573466584,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7377300613496932,0.0,8.0,14.0
6,6,5,3456.0,5270.0,2595692.8281383743,4190253.562631225,0.6557874762808349,0.619459607716063,27,6,0,136.88819251368938,37856,6387,31469,0.14760443080208197,0.10024303073624019,0,106.88819251368938,30.0,8,13,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
7,7,6,4024.0,6333.0,2818348.627126997,4606949.186442679,0.6354018632559608,0.6117603023321437,28,7,1,148.0,36793,6251,30542,0.16575470439076467,0.1267476769120801,6,391.9996461067296,148.0,8,15,True,"{0: 25, 1: 38, 2: 26, 3: 39, 4: 40, 5: 86, 6: 98, 7: 32}","{(0, 1): [(25, 78), (78, 38)], (0, 2): [(25, 35), (35, 26)], (0, 4): [(25, 35), (35, 40)], (0, 6): [(25, 0), (0, 32), (32, 98)], (1, 2): [(38, 93), (93, 26)], (1, 4): [(38, 88), (88, 40)], (1, 5): [(38, 83), (83, 86)], (1, 6): [(38, 88), (88, 98)], (2, 3): [(26, 93), (93, 39)], (2, 4): [(26, 61), (61, 40)], (2, 5): [(26, 86)], (2, 6): [(26, 61), (61, 98)], (2, 7): [(26, 6), (6, 10), (10, 32)], (3, 5): [(39, 26), (26, 86)], (4, 7): [(40, 63), (63, 32)]}","{(0, 25): {'cpu': 31}, (1, 38): {'cpu': 41}, (2, 26): {'cpu': 13}, (3, 39): {'cpu': 9}, (4, 40): {'cpu': 18}, (5, 86): {'cpu': 1}, (6, 98): {'cpu': 4}, (7, 32): {'cpu': 19}}","{((0, 1), (25, 78)): {'bw': 24}, ((0, 1), (78, 38)): {'bw': 24}, ((0, 2), (25, 35)): {'bw': 14}, ((0, 2), (35, 26)): {'bw': 14}, ((0, 4), (25, 35)): {'bw': 22}, ((0, 4), (35, 40)): {'bw': 22}, ((0, 6), (25, 0)): {'bw': 17}, ((0, 6), (0, 32)): {'bw': 17}, ((0, 6), (32, 98)): {'bw': 17}, ((1, 2), (38, 93)): {'bw': 25}, ((1, 2), (93, 26)): {'bw': 25}, ((1, 4), (38, 88)): {'bw': 45}, ((1, 4), (88, 40)): {'bw': 45}, ((1, 5), (38, 83)): {'bw': 25}, ((1, 5), (83, 86)): {'bw': 25}, ((1, 6), (38, 88)): {'bw': 33}, ((1, 6), (88, 98)): {'bw': 33}, ((2, 3), (26, 93)): {'bw': 37}, ((2, 3), (93, 39)): {'bw': 37}, ((2, 4), (26, 61)): {'bw': 44}, ((2, 4), (61, 40)): {'bw': 44}, ((2, 5), (26, 86)): {'bw': 1}, ((2, 6), (26, 61)): {'bw': 36}, ((2, 6), (61, 98)): {'bw': 36}, ((2, 7), (26, 6)): {'bw': 47}, ((2, 7), (6, 10)): {'bw': 47}, ((2, 7), (10, 32)): {'bw': 47}, ((3, 5), (39, 26)): {'bw': 12}, ((3, 5), (26, 86)): {'bw': 12}, ((4, 7), (40, 63)): {'bw': 50}, ((4, 7), (63, 32)): {'bw': 50}}",1063.0,568.0,408.0,136.0,432,136.0,432,136.0,927,495,0.5343367826904986,416695.6238114535,222655.7989886224,209.4598297164839,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.5343367826904986,0.0,8.0,15.0
8,8,7,4507.0,7108.0,2903027.1982928086,4742820.599803971,0.6340742824985931,0.6120887638914269,30,8,1,169.0,36018,6078,29940,0.1888429200587215,0.14395997140814865,7,175.317952724248,169.0,8,13,True,"{0: 5, 1: 86, 2: 0, 3: 40, 4: 62, 5: 6, 6: 26, 7: 81}","{(0, 4): [(5, 22), (22, 40), (40, 62)], (0, 7): [(5, 26), (26, 81)], (1, 3): [(86, 62), (62, 40)], (1, 6): [(86, 26)], (1, 7): [(86, 81)], (2, 3): [(0, 22), (22, 40)], (2, 4): [(0, 86), (86, 62)], (2, 5): [(0, 10), (10, 6)], (2, 6): [(0, 96), (96, 26)], (3, 4): [(40, 62)], (3, 7): [(40, 4), (4, 81)], (4, 5): [(62, 77), (77, 6)], (6, 7): [(26, 94), (94, 83), (83, 81)]}","{(0, 5): {'cpu': 1}, (1, 86): {'cpu': 19}, (2, 0): {'cpu': 5}, (3, 40): {'cpu': 3}, (4, 62): {'cpu': 43}, (5, 6): {'cpu': 50}, (6, 26): {'cpu': 4}, (7, 81): {'cpu': 48}}","{((0, 4), (5, 22)): {'bw': 7}, ((0, 4), (22, 40)): {'bw': 7}, ((0, 4), (40, 62)): {'bw': 7}, ((0, 7), (5, 26)): {'bw': 32}, ((0, 7), (26, 81)): {'bw': 32}, ((1, 3), (86, 62)): {'bw': 39}, ((1, 3), (62, 40)): {'bw': 39}, ((1, 6), (86, 26)): {'bw': 7}, ((1, 7), (86, 81)): {'bw': 49}, ((2, 3), (0, 22)): {'bw': 23}, ((2, 3), (22, 40)): {'bw': 23}, ((2, 4), (0, 86)): {'bw': 0}, ((2, 4), (86, 62)): {'bw': 0}, ((2, 5), (0, 10)): {'bw': 10}, ((2, 5), (10, 6)): {'bw': 10}, ((2, 6), (0, 96)): {'bw': 44}, ((2, 6), (96, 26)): {'bw': 44}, ((3, 4), (40, 62)): {'bw': 13}, ((3, 7), (40, 4)): {'bw': 0}, ((3, 7), (4, 81)): {'bw': 0}, ((4, 5), (62, 77)): {'bw': 42}, ((4, 5), (77, 6)): {'bw': 42}, ((6, 7), (26, 94)): {'bw': 44}, ((6, 7), (94, 83)): {'bw': 44}, ((6, 7), (83, 81)): {'bw': 44}}",775.0,483.0,519.0,173.0,310,173.0,310,173.0,602,292,0.6232258064516129,135871.4133612922,84678.57116581178,109.26267247201518,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6232258064516129,0.0,8.0,13.0
9,9,8,4970.0,7832.0,3214658.412747005,5230122.974026084,0.6345760980592441,0.6146429880734526,34,9,1,193.0,35294,5892,29402,0.21366608834912582,0.1593423874195854,8,673.0695776548517,193.0,8,16,True,"{0: 18, 1: 68, 2: 39, 3: 86, 4: 34, 5: 56, 6: 0, 7: 94}","{(0, 3): [(18, 86)], (0, 4): [(18, 86), (86, 34)], (0, 5): [(18, 37), (37, 56)], (0, 6): [(18, 86), (86, 0)], (0, 7): [(18, 63), (63, 94)], (1, 2): [(68, 93), (93, 39)], (1, 3): [(68, 0), (0, 86)], (1, 4): [(68, 27), (27, 64), (64, 34)], (1, 7): [(68, 31), (31, 80), (80, 94)], (2, 7): [(39, 65), (65, 94)], (3, 6): [(86, 0)], (3, 7): [(86, 26), (26, 94)], (4, 5): [(34, 55), (55, 31), (31, 56)], (4, 6): [(34, 51), (51, 0)], (4, 7): [(34, 5), (5, 94)], (6, 7): [(0, 13), (13, 5), (5, 94)]}","{(0, 18): {'cpu': 50}, (1, 68): {'cpu': 11}, (2, 39): {'cpu': 21}, (3, 86): {'cpu': 4}, (4, 34): {'cpu': 45}, (5, 56): {'cpu': 39}, (6, 0): {'cpu': 2}, (7, 94): {'cpu': 14}}","{((0, 3), (18, 86)): {'bw': 13}, ((0, 4), (18, 86)): {'bw': 31}, ((0, 4), (86, 34)): {'bw': 31}, ((0, 5), (18, 37)): {'bw': 28}, ((0, 5), (37, 56)): {'bw': 28}, ((0, 6), (18, 86)): {'bw': 0}, ((0, 6), (86, 0)): {'bw': 0}, ((0, 7), (18, 63)): {'bw': 14}, ((0, 7), (63, 94)): {'bw': 14}, ((1, 2), (68, 93)): {'bw': 7}, ((1, 2), (93, 39)): {'bw': 7}, ((1, 3), (68, 0)): {'bw': 16}, ((1, 3), (0, 86)): {'bw': 16}, ((1, 4), (68, 27)): {'bw': 20}, ((1, 4), (27, 64)): {'bw': 20}, ((1, 4), (64, 34)): {'bw': 20}, ((1, 7), (68, 31)): {'bw': 16}, ((1, 7), (31, 80)): {'bw': 16}, ((1, 7), (80, 94)): {'bw': 16}, ((2, 7), (39, 65)): {'bw': 14}, ((2, 7), (65, 94)): {'bw': 14}, ((3, 6), (86, 0)): {'bw': 49}, ((3, 7), (86, 26)): {'bw': 27}, ((3, 7), (26, 94)): {'bw': 27}, ((4, 5), (34, 55)): {'bw': 1}, ((4, 5), (55, 31)): {'bw': 1}, ((4, 5), (31, 56)): {'bw': 1}, ((4, 6), (34, 51)): {'bw': 8}, ((4, 6), (51, 0)): {'bw': 8}, ((4, 7), (34, 5)): {'bw': 24}, ((4, 7), (5, 94)): {'bw': 24}, ((6, 7), (0, 13)): {'bw': 9}, ((6, 7), (13, 5)): {'bw': 9}, ((6, 7), (5, 94)): {'bw': 9}}",724.0,463.0,558.0,186.0,277,186.0,277,186.0,538,261,0.6395027624309392,487302.37422211264,311631.21445419634,430.42985421850324,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6395027624309392,0.0,8.0,16.0
