v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,338.0,437.0,209472.5464760687,270826.93139065686,0.7734553775743707,0.7734553775743708,8,0,1,29.0,42031,7369,34662,0.01654877886026962,0.008949249463902742,0,619.7412617635168,29.0,8,13,True,"{0: 40, 1: 98, 2: 72, 3: 39, 4: 62, 5: 26, 6: 86, 7: 32}","{(0, 1): [(40, 98)], (0, 5): [(40, 35), (35, 26)], (0, 6): [(40, 62), (62, 86)], (1, 2): [(98, 72)], (1, 3): [(98, 26), (26, 39)], (1, 5): [(98, 26)], (2, 4): [(72, 40), (40, 62)], (2, 5): [(72, 26)], (2, 7): [(72, 26), (26, 32)], (3, 5): [(39, 26)], (3, 7): [(39, 4), (4, 32)], (4, 5): [(62, 81), (81, 26)], (5, 7): [(26, 32)]}","{(0, 40): {'cpu': 15}, (1, 98): {'cpu': 22}, (2, 72): {'cpu': 21}, (3, 39): {'cpu': 23}, (4, 62): {'cpu': 31}, (5, 26): {'cpu': 10}, (6, 86): {'cpu': 2}, (7, 32): {'cpu': 0}}","{((0, 1), (40, 98)): {'bw': 2}, ((0, 5), (40, 35)): {'bw': 4}, ((0, 5), (35, 26)): {'bw': 4}, ((0, 6), (40, 62)): {'bw': 10}, ((0, 6), (62, 86)): {'bw': 10}, ((1, 2), (98, 72)): {'bw': 26}, ((1, 3), (98, 26)): {'bw': 22}, ((1, 3), (26, 39)): {'bw': 22}, ((1, 5), (98, 26)): {'bw': 20}, ((2, 4), (72, 40)): {'bw': 32}, ((2, 4), (40, 62)): {'bw': 32}, ((2, 5), (72, 26)): {'bw': 35}, ((2, 7), (72, 26)): {'bw': 18}, ((2, 7), (26, 32)): {'bw': 18}, ((3, 5), (39, 26)): {'bw': 31}, ((3, 7), (39, 4)): {'bw': 4}, ((3, 7), (4, 32)): {'bw': 4}, ((4, 5), (62, 81)): {'bw': 9}, ((4, 5), (81, 26)): {'bw': 9}, ((5, 7), (26, 32)): {'bw': 1}}",437.0,338.0,372.0,124.0,214,124.0,214,124.0,313,99,0.7734553775743707,270826.93139065686,209472.5464760687,479.3422116157178,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7734553775743707,0.0,8.0,13.0
2,2,2,1021.0,1426.0,329179.03492901265,444164.7309220794,0.7159887798036466,0.7411192560148615,10,1,1,58.0,41042,7205,33837,0.03843587348191646,0.03253752680486066,1,175.2657224786881,58.0,8,17,True,"{0: 32, 1: 98, 2: 26, 3: 39, 4: 40, 5: 55, 6: 72, 7: 5}","{(0, 1): [(32, 98)], (0, 4): [(32, 4), (4, 40)], (0, 5): [(32, 26), (26, 55)], (1, 3): [(98, 40), (40, 39)], (1, 5): [(98, 40), (40, 55)], (1, 6): [(98, 72)], (2, 3): [(26, 81), (81, 39)], (2, 4): [(26, 35), (35, 40)], (2, 5): [(26, 55)], (2, 6): [(26, 79), (79, 72)], (2, 7): [(26, 5)], (3, 5): [(39, 16), (16, 55)], (3, 7): [(39, 26), (26, 5)], (4, 5): [(40, 55)], (4, 6): [(40, 72)], (5, 6): [(55, 72)], (6, 7): [(72, 58), (58, 5)]}","{(0, 32): {'cpu': 47}, (1, 98): {'cpu': 2}, (2, 26): {'cpu': 18}, (3, 39): {'cpu': 42}, (4, 40): {'cpu': 4}, (5, 55): {'cpu': 6}, (6, 72): {'cpu': 16}, (7, 5): {'cpu': 29}}","{((0, 1), (32, 98)): {'bw': 31}, ((0, 4), (32, 4)): {'bw': 50}, ((0, 4), (4, 40)): {'bw': 50}, ((0, 5), (32, 26)): {'bw': 28}, ((0, 5), (26, 55)): {'bw': 28}, ((1, 3), (98, 40)): {'bw': 21}, ((1, 3), (40, 39)): {'bw': 21}, ((1, 5), (98, 40)): {'bw': 36}, ((1, 5), (40, 55)): {'bw': 36}, ((1, 6), (98, 72)): {'bw': 34}, ((2, 3), (26, 81)): {'bw': 44}, ((2, 3), (81, 39)): {'bw': 44}, ((2, 4), (26, 35)): {'bw': 4}, ((2, 4), (35, 40)): {'bw': 4}, ((2, 5), (26, 55)): {'bw': 30}, ((2, 6), (26, 79)): {'bw': 24}, ((2, 6), (79, 72)): {'bw': 24}, ((2, 7), (26, 5)): {'bw': 2}, ((3, 5), (39, 16)): {'bw': 30}, ((3, 5), (16, 55)): {'bw': 30}, ((3, 7), (39, 26)): {'bw': 29}, ((3, 7), (26, 5)): {'bw': 29}, ((4, 5), (40, 55)): {'bw': 39}, ((4, 6), (40, 72)): {'bw': 36}, ((5, 6), (55, 72)): {'bw': 41}, ((6, 7), (72, 58)): {'bw': 40}, ((6, 7), (58, 5)): {'bw': 40}}",989.0,683.0,492.0,164.0,519,164.0,519,164.0,825,306,0.6905965621840243,173337.79953142253,119706.48845294397,121.03790541248128,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6905965621840243,0.0,8.0,17.0
3,3,3,1662.0,2466.0,1026754.1648658235,1575955.8933780596,0.6739659367396593,0.6515119929308282,12,2,1,83.0,40002,6991,33011,0.06699586280528491,0.05615439599714078,2,1088.2607331307502,83.0,8,14,True,"{0: 40, 1: 98, 2: 32, 3: 94, 4: 26, 5: 86, 6: 5, 7: 0}","{(0, 2): [(40, 22), (22, 32)], (0, 5): [(40, 62), (62, 86)], (0, 6): [(40, 35), (35, 5)], (1, 3): [(98, 5), (5, 94)], (1, 4): [(98, 32), (32, 26)], (1, 5): [(98, 9), (9, 86)], (1, 7): [(98, 25), (25, 0)], (2, 3): [(32, 63), (63, 94)], (2, 5): [(32, 0), (0, 86)], (3, 5): [(94, 26), (26, 86)], (3, 6): [(94, 5)], (4, 7): [(26, 32), (32, 0)], (5, 6): [(86, 13), (13, 5)], (5, 7): [(86, 13), (13, 0)]}","{(0, 40): {'cpu': 27}, (1, 98): {'cpu': 29}, (2, 32): {'cpu': 38}, (3, 94): {'cpu': 17}, (4, 26): {'cpu': 26}, (5, 86): {'cpu': 17}, (6, 5): {'cpu': 22}, (7, 0): {'cpu': 38}}","{((0, 2), (40, 22)): {'bw': 47}, ((0, 2), (22, 32)): {'bw': 47}, ((0, 5), (40, 62)): {'bw': 24}, ((0, 5), (62, 86)): {'bw': 24}, ((0, 6), (40, 35)): {'bw': 17}, ((0, 6), (35, 5)): {'bw': 17}, ((1, 3), (98, 5)): {'bw': 44}, ((1, 3), (5, 94)): {'bw': 44}, ((1, 4), (98, 32)): {'bw': 36}, ((1, 4), (32, 26)): {'bw': 36}, ((1, 5), (98, 9)): {'bw': 4}, ((1, 5), (9, 86)): {'bw': 4}, ((1, 7), (98, 25)): {'bw': 41}, ((1, 7), (25, 0)): {'bw': 41}, ((2, 3), (32, 63)): {'bw': 18}, ((2, 3), (63, 94)): {'bw': 18}, ((2, 5), (32, 0)): {'bw': 40}, ((2, 5), (0, 86)): {'bw': 40}, ((3, 5), (94, 26)): {'bw': 38}, ((3, 5), (26, 86)): {'bw': 38}, ((3, 6), (94, 5)): {'bw': 28}, ((4, 7), (26, 32)): {'bw': 8}, ((4, 7), (32, 0)): {'bw': 8}, ((5, 6), (86, 13)): {'bw': 39}, ((5, 6), (13, 5)): {'bw': 39}, ((5, 7), (86, 13)): {'bw': 43}, ((5, 7), (13, 0)): {'bw': 43}}",1040.0,641.0,642.0,214.0,427,214.0,427,214.0,826,399,0.6163461538461539,1131791.1624559802,697575.1299368108,670.7453172469335,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6163461538461539,0.0,8.0,14.0
4,4,4,2340.0,3456.0,1133527.8084960293,1731864.311068183,0.6770833333333334,0.6545130592805447,15,3,1,102.0,39012,6728,32284,0.10209528893634057,0.07694067190850606,3,157.48325019204393,102.0,8,15,True,"{0: 18, 1: 40, 2: 63, 3: 83, 4: 62, 5: 98, 6: 86, 7: 55}","{(0, 1): [(18, 35), (35, 40)], (0, 2): [(18, 63)], (0, 3): [(18, 37), (37, 83)], (0, 4): [(18, 27), (27, 64), (64, 62)], (0, 5): [(18, 63), (63, 98)], (1, 4): [(40, 31), (31, 62)], (2, 5): [(63, 98)], (2, 6): [(63, 48), (48, 86)], (2, 7): [(63, 40), (40, 31), (31, 55)], (3, 4): [(83, 62)], (3, 6): [(83, 86)], (4, 6): [(62, 86)], (4, 7): [(62, 31), (31, 55)], (5, 7): [(98, 72), (72, 55)], (6, 7): [(86, 26), (26, 55)]}","{(0, 18): {'cpu': 48}, (1, 40): {'cpu': 16}, (2, 63): {'cpu': 46}, (3, 83): {'cpu': 42}, (4, 62): {'cpu': 41}, (5, 98): {'cpu': 1}, (6, 86): {'cpu': 40}, (7, 55): {'cpu': 29}}","{((0, 1), (18, 35)): {'bw': 30}, ((0, 1), (35, 40)): {'bw': 30}, ((0, 2), (18, 63)): {'bw': 50}, ((0, 3), (18, 37)): {'bw': 9}, ((0, 3), (37, 83)): {'bw': 9}, ((0, 4), (18, 27)): {'bw': 49}, ((0, 4), (27, 64)): {'bw': 49}, ((0, 4), (64, 62)): {'bw': 49}, ((0, 5), (18, 63)): {'bw': 7}, ((0, 5), (63, 98)): {'bw': 7}, ((1, 4), (40, 31)): {'bw': 44}, ((1, 4), (31, 62)): {'bw': 44}, ((2, 5), (63, 98)): {'bw': 20}, ((2, 6), (63, 48)): {'bw': 28}, ((2, 6), (48, 86)): {'bw': 28}, ((2, 7), (63, 40)): {'bw': 22}, ((2, 7), (40, 31)): {'bw': 22}, ((2, 7), (31, 55)): {'bw': 22}, ((3, 4), (83, 62)): {'bw': 44}, ((3, 6), (83, 86)): {'bw': 48}, ((4, 6), (62, 86)): {'bw': 12}, ((4, 7), (62, 31)): {'bw': 28}, ((4, 7), (31, 55)): {'bw': 28}, ((5, 7), (98, 72)): {'bw': 23}, ((5, 7), (72, 55)): {'bw': 23}, ((6, 7), (86, 26)): {'bw': 1}, ((6, 7), (26, 55)): {'bw': 1}}",990.0,678.0,789.0,263.0,415,263.0,415,263.0,727,312,0.6848484848484848,155908.4176901235,106773.64363020578,107.85216528303614,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6848484848484848,0.0,8.0,15.0
5,5,5,2945.0,4460.0,1205205.2156611737,1850813.264446373,0.6603139013452914,0.6511760201922273,19,4,1,130.0,38008,6505,31503,0.131856399306019,0.09927090779127945,4,118.47505316552787,130.0,8,16,True,"{0: 26, 1: 47, 2: 15, 3: 94, 4: 80, 5: 98, 6: 5, 7: 4}","{(0, 1): [(26, 45), (45, 47)], (0, 2): [(26, 45), (45, 15)], (0, 6): [(26, 5)], (0, 7): [(26, 35), (35, 16), (16, 4)], (1, 2): [(47, 55), (55, 15)], (1, 3): [(47, 88), (88, 94)], (1, 5): [(47, 88), (88, 98)], (2, 3): [(15, 65), (65, 94)], (2, 6): [(15, 7), (7, 22), (22, 5)], (2, 7): [(15, 24), (24, 4)], (3, 4): [(94, 80)], (3, 6): [(94, 5)], (4, 6): [(80, 94), (94, 26), (26, 5)], (4, 7): [(80, 39), (39, 4)], (5, 6): [(98, 74), (74, 5)], (6, 7): [(5, 50), (50, 4)]}","{(0, 26): {'cpu': 18}, (1, 47): {'cpu': 33}, (2, 15): {'cpu': 36}, (3, 94): {'cpu': 33}, (4, 80): {'cpu': 12}, (5, 98): {'cpu': 15}, (6, 5): {'cpu': 29}, (7, 4): {'cpu': 47}}","{((0, 1), (26, 45)): {'bw': 49}, ((0, 1), (45, 47)): {'bw': 49}, ((0, 2), (26, 45)): {'bw': 33}, ((0, 2), (45, 15)): {'bw': 33}, ((0, 6), (26, 5)): {'bw': 14}, ((0, 7), (26, 35)): {'bw': 13}, ((0, 7), (35, 16)): {'bw': 13}, ((0, 7), (16, 4)): {'bw': 13}, ((1, 2), (47, 55)): {'bw': 41}, ((1, 2), (55, 15)): {'bw': 41}, ((1, 3), (47, 88)): {'bw': 18}, ((1, 3), (88, 94)): {'bw': 18}, ((1, 5), (47, 88)): {'bw': 3}, ((1, 5), (88, 98)): {'bw': 3}, ((2, 3), (15, 65)): {'bw': 18}, ((2, 3), (65, 94)): {'bw': 18}, ((2, 6), (15, 7)): {'bw': 37}, ((2, 6), (7, 22)): {'bw': 37}, ((2, 6), (22, 5)): {'bw': 37}, ((2, 7), (15, 24)): {'bw': 14}, ((2, 7), (24, 4)): {'bw': 14}, ((3, 4), (94, 80)): {'bw': 26}, ((3, 6), (94, 5)): {'bw': 4}, ((4, 6), (80, 94)): {'bw': 11}, ((4, 6), (94, 26)): {'bw': 11}, ((4, 6), (26, 5)): {'bw': 11}, ((4, 7), (80, 39)): {'bw': 41}, ((4, 7), (39, 4)): {'bw': 41}, ((5, 6), (98, 74)): {'bw': 36}, ((5, 6), (74, 5)): {'bw': 36}, ((6, 7), (5, 50)): {'bw': 24}, ((6, 7), (50, 4)): {'bw': 24}}",1004.0,605.0,669.0,223.0,382,223.0,382,223.0,781,399,0.602589641434263,118948.95337818998,71677.40716514437,71.39183980592068,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.602589641434263,0.0,8.0,16.0
6,6,6,3403.0,5118.0,1939578.9722239692,2905874.2509492543,0.6649081672528332,0.6674683089229935,22,5,1,151.0,37350,6356,30994,0.15174162551714931,0.11382416011436736,5,1603.436149700427,151.0,8,16,True,"{0: 26, 1: 94, 2: 32, 3: 98, 4: 88, 5: 50, 6: 67, 7: 15}","{(0, 1): [(26, 94)], (0, 4): [(26, 48), (48, 88)], (0, 5): [(26, 5), (5, 50)], (1, 2): [(94, 63), (63, 32)], (1, 4): [(94, 88)], (1, 5): [(94, 63), (63, 50)], (1, 7): [(94, 65), (65, 15)], (2, 4): [(32, 4), (4, 88)], (2, 6): [(32, 67)], (2, 7): [(32, 65), (65, 15)], (3, 4): [(98, 88)], (3, 5): [(98, 5), (5, 50)], (3, 6): [(98, 67)], (4, 5): [(88, 4), (4, 50)], (4, 6): [(88, 98), (98, 67)], (4, 7): [(88, 80), (80, 15)]}","{(0, 26): {'cpu': 1}, (1, 94): {'cpu': 31}, (2, 32): {'cpu': 1}, (3, 98): {'cpu': 9}, (4, 88): {'cpu': 15}, (5, 50): {'cpu': 31}, (6, 67): {'cpu': 13}, (7, 15): {'cpu': 48}}","{((0, 1), (26, 94)): {'bw': 42}, ((0, 4), (26, 48)): {'bw': 12}, ((0, 4), (48, 88)): {'bw': 12}, ((0, 5), (26, 5)): {'bw': 3}, ((0, 5), (5, 50)): {'bw': 3}, ((1, 2), (94, 63)): {'bw': 29}, ((1, 2), (63, 32)): {'bw': 29}, ((1, 4), (94, 88)): {'bw': 36}, ((1, 5), (94, 63)): {'bw': 14}, ((1, 5), (63, 50)): {'bw': 14}, ((1, 7), (94, 65)): {'bw': 15}, ((1, 7), (65, 15)): {'bw': 15}, ((2, 4), (32, 4)): {'bw': 26}, ((2, 4), (4, 88)): {'bw': 26}, ((2, 6), (32, 67)): {'bw': 17}, ((2, 7), (32, 65)): {'bw': 19}, ((2, 7), (65, 15)): {'bw': 19}, ((3, 4), (98, 88)): {'bw': 9}, ((3, 5), (98, 5)): {'bw': 28}, ((3, 5), (5, 50)): {'bw': 28}, ((3, 6), (98, 67)): {'bw': 5}, ((4, 5), (88, 4)): {'bw': 18}, ((4, 5), (4, 50)): {'bw': 18}, ((4, 6), (88, 98)): {'bw': 13}, ((4, 6), (98, 67)): {'bw': 13}, ((4, 7), (88, 80)): {'bw': 23}, ((4, 7), (80, 15)): {'bw': 23}}",658.0,458.0,447.0,149.0,309,149.0,309,149.0,509,200,0.6960486322188449,1055060.986502881,734373.7565627956,1116.0695388492334,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.6960486322188449,0.0,8.0,16.0
7,7,7,3857.0,5744.0,2122932.5069629485,3158692.12043516,0.671483286908078,0.6720922540150829,25,6,1,176.0,36724,6145,30579,0.17990124115841455,0.1256897784131522,6,403.8624113193381,176.0,8,11,True,"{0: 81, 1: 59, 2: 0, 3: 16, 4: 40, 5: 39, 6: 88, 7: 4}","{(0, 2): [(81, 86), (86, 0)], (0, 7): [(81, 4)], (1, 2): [(59, 10), (10, 0)], (1, 5): [(59, 6), (6, 26), (26, 39)], (2, 3): [(0, 16)], (2, 4): [(0, 22), (22, 40)], (2, 6): [(0, 16), (16, 55), (55, 88)], (3, 4): [(16, 73), (73, 40)], (3, 5): [(16, 39)], (4, 6): [(40, 88)], (6, 7): [(88, 40), (40, 4)]}","{(0, 81): {'cpu': 30}, (1, 59): {'cpu': 49}, (2, 0): {'cpu': 28}, (3, 16): {'cpu': 45}, (4, 40): {'cpu': 0}, (5, 39): {'cpu': 3}, (6, 88): {'cpu': 43}, (7, 4): {'cpu': 13}}","{((0, 2), (81, 86)): {'bw': 22}, ((0, 2), (86, 0)): {'bw': 22}, ((0, 7), (81, 4)): {'bw': 32}, ((1, 2), (59, 10)): {'bw': 29}, ((1, 2), (10, 0)): {'bw': 29}, ((1, 5), (59, 6)): {'bw': 3}, ((1, 5), (6, 26)): {'bw': 3}, ((1, 5), (26, 39)): {'bw': 3}, ((2, 3), (0, 16)): {'bw': 25}, ((2, 4), (0, 22)): {'bw': 9}, ((2, 4), (22, 40)): {'bw': 9}, ((2, 6), (0, 16)): {'bw': 13}, ((2, 6), (16, 55)): {'bw': 13}, ((2, 6), (55, 88)): {'bw': 13}, ((3, 4), (16, 73)): {'bw': 47}, ((3, 4), (73, 40)): {'bw': 47}, ((3, 5), (16, 39)): {'bw': 0}, ((4, 6), (40, 88)): {'bw': 30}, ((6, 7), (88, 40)): {'bw': 33}, ((6, 7), (40, 4)): {'bw': 33}}",626.0,454.0,633.0,211.0,243,211.0,243,211.0,415,172,0.7252396166134185,252817.86948590566,183353.5347389795,292.8970203498075,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7252396166134185,0.0,8.0,11.0
8,8,8,4417.0,6510.0,2394097.416186918,3529606.9784093755,0.678494623655914,0.6782900846557774,30,7,1,214.0,35958,5886,30072,0.21446683571333247,0.14018584703359538,7,484.2230521856596,214.0,8,11,True,"{0: 74, 1: 51, 2: 72, 3: 36, 4: 40, 5: 65, 6: 34, 7: 80}","{(0, 2): [(74, 72)], (0, 3): [(74, 36)], (0, 4): [(74, 89), (89, 40)], (0, 6): [(74, 34)], (0, 7): [(74, 94), (94, 80)], (1, 2): [(51, 74), (74, 72)], (1, 7): [(51, 78), (78, 80)], (2, 6): [(72, 55), (55, 34)], (4, 5): [(40, 39), (39, 65)], (4, 7): [(40, 80)], (6, 7): [(34, 51), (51, 78), (78, 80)]}","{(0, 74): {'cpu': 18}, (1, 51): {'cpu': 45}, (2, 72): {'cpu': 22}, (3, 36): {'cpu': 40}, (4, 40): {'cpu': 3}, (5, 65): {'cpu': 33}, (6, 34): {'cpu': 48}, (7, 80): {'cpu': 50}}","{((0, 2), (74, 72)): {'bw': 23}, ((0, 3), (74, 36)): {'bw': 31}, ((0, 4), (74, 89)): {'bw': 49}, ((0, 4), (89, 40)): {'bw': 49}, ((0, 6), (74, 34)): {'bw': 31}, ((0, 7), (74, 94)): {'bw': 32}, ((0, 7), (94, 80)): {'bw': 32}, ((1, 2), (51, 74)): {'bw': 1}, ((1, 2), (74, 72)): {'bw': 1}, ((1, 7), (51, 78)): {'bw': 17}, ((1, 7), (78, 80)): {'bw': 17}, ((2, 6), (72, 55)): {'bw': 4}, ((2, 6), (55, 34)): {'bw': 4}, ((4, 5), (40, 39)): {'bw': 39}, ((4, 5), (39, 65)): {'bw': 39}, ((4, 7), (40, 80)): {'bw': 42}, ((6, 7), (34, 51)): {'bw': 32}, ((6, 7), (51, 78)): {'bw': 32}, ((6, 7), (78, 80)): {'bw': 32}}",766.0,560.0,777.0,259.0,301,259.0,301,259.0,507,206,0.7310704960835509,370914.85797421524,271164.9092239694,354.0011869764613,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],0.7310704960835509,0.0,8.0,11.0
8,8,7,4417.0,6510.0,2394097.416186918,3529606.9784093755,0.678494623655914,0.6782900846557774,30,8,0,233.2657224786881,36947,6050,30897,0.19257974109168552,0.11659756969263757,1,175.2657224786881,58.0,8,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
9,8,7,4417.0,6510.0,2394097.416186918,3529606.9784093755,0.678494623655914,0.6782900846557774,30,9,1,237.0,36947,6050,30897,0.19257974109168552,0.11659756969263757,8,0.7086141040174335,237.0,8,16,False,"{0: 32, 1: 98, 2: 26, 3: 63, 4: 39, 5: 96, 6: 72, 7: 79}","{(0, 1): [(32, 63), (63, 98)], (0, 3): [(32, 50), (50, 63)], (0, 5): [(32, 10), (10, 96)], (0, 6): [(32, 65), (65, 72)], (1, 2): [(98, 32), (32, 26)], (2, 3): [(26, 6), (6, 63)], (2, 4): [(26, 81), (81, 39)], (2, 6): [(26, 55), (55, 72)], (3, 4): [(63, 40), (40, 1), (1, 39)], (3, 6): [(63, 40), (40, 72)], (3, 7): []}","{(0, 32): {'cpu': 4}, (1, 98): {'cpu': 3}, (2, 26): {'cpu': 14}, (3, 63): {'cpu': 50}, (4, 39): {'cpu': 8}, (5, 96): {'cpu': 11}, (6, 72): {'cpu': 7}, (7, 79): {'cpu': 50}}","{((0, 1), (32, 63)): {'bw': 35}, ((0, 1), (63, 98)): {'bw': 35}, ((0, 3), (32, 50)): {'bw': 34}, ((0, 3), (50, 63)): {'bw': 34}, ((0, 5), (32, 10)): {'bw': 33}, ((0, 5), (10, 96)): {'bw': 33}, ((0, 6), (32, 65)): {'bw': 43}, ((0, 6), (65, 72)): {'bw': 43}, ((1, 2), (98, 32)): {'bw': 32}, ((1, 2), (32, 26)): {'bw': 32}, ((2, 3), (26, 6)): {'bw': 49}, ((2, 3), (6, 63)): {'bw': 49}, ((2, 4), (26, 81)): {'bw': 48}, ((2, 4), (81, 39)): {'bw': 48}, ((2, 6), (26, 55)): {'bw': 35}, ((2, 6), (55, 72)): {'bw': 35}, ((3, 4), (63, 40)): {'bw': 44}, ((3, 4), (40, 1)): {'bw': 44}, ((3, 4), (1, 39)): {'bw': 44}, ((3, 6), (63, 40)): {'bw': 9}, ((3, 6), (40, 72)): {'bw': 9}}",0.0,0.0,441.0,147.0,512,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,[],0.0,0.0,8.0,11.0
